timestamp,cpu_load,memory_used_mb,memory_total_mb,memory_percent,heap_used_mb,heap_total_mb,external_memory_mb,active_handles,active_requests
2025-03-28T18:52:01.067Z,17.19,8759.30,15775.61,55.52,4.49,5.51,1.51,2,0
2025-03-28T18:52:02.080Z,13.31,8774.95,15775.61,55.62,4.51,5.51,1.51,2,0
2025-03-28T18:52:03.081Z,16.09,8782.34,15775.61,55.67,4.52,5.51,1.51,2,0
2025-03-28T18:52:04.091Z,15.42,8791.04,15775.61,55.73,4.52,5.51,1.51,2,0
2025-03-28T18:52:05.095Z,13.04,8803.41,15775.61,55.80,4.53,5.51,1.51,2,0
2025-03-28T18:52:06.106Z,19.76,8763.45,15775.61,55.55,4.55,5.51,1.51,2,0
2025-03-28T18:52:07.117Z,16.89,8763.14,15775.61,55.55,4.56,5.51,1.51,2,0
2025-03-28T18:52:08.117Z,18.57,8738.91,15775.61,55.40,4.57,5.51,1.51,2,0
2025-03-28T18:52:09.130Z,17.17,8732.96,15775.61,55.36,4.59,5.51,1.51,2,0
2025-03-28T18:52:10.137Z,14.45,8720.23,15775.61,55.28,4.62,5.51,1.51,2,0
2025-03-28T18:52:11.146Z,16.66,8724.42,15775.61,55.30,4.63,5.51,1.51,2,0
2025-03-28T18:52:12.154Z,10.28,8731.80,15775.61,55.35,4.64,5.51,1.51,2,0
2025-03-28T18:52:13.167Z,22.34,8560.45,15775.61,54.26,4.65,5.51,1.51,2,0
2025-03-28T18:52:14.180Z,18.01,8532.64,15775.61,54.09,4.66,5.51,1.51,2,0
2025-03-28T18:52:15.180Z,16.99,8546.75,15775.61,54.18,4.67,5.51,1.51,2,0
2025-03-28T18:52:16.182Z,12.98,8551.43,15775.61,54.21,4.68,5.51,1.51,2,0
2025-03-28T18:52:17.216Z,19.13,8556.34,15775.61,54.24,4.68,5.51,1.51,2,0
2025-03-28T18:52:18.229Z,19.92,8540.34,15775.61,54.14,4.69,5.51,1.51,2,0
2025-03-28T18:52:19.230Z,11.02,8549.41,15775.61,54.19,4.70,5.51,1.51,2,0
2025-03-28T18:52:20.231Z,14.68,8557.23,15775.61,54.24,4.71,5.51,1.51,2,0
2025-03-28T18:52:21.242Z,13.31,8560.09,15775.61,54.26,4.72,5.51,1.51,2,0
2025-03-28T18:52:22.250Z,9.95,8563.15,15775.61,54.28,4.73,5.51,1.51,2,0
2025-03-28T18:52:23.265Z,8.6,8553.97,15775.61,54.22,4.73,5.51,1.51,2,0
2025-03-28T18:52:24.280Z,18.5,8556.27,15775.61,54.24,4.74,5.51,1.51,2,0
2025-03-28T18:52:25.283Z,14.17,8565.02,15775.61,54.29,4.75,5.51,1.51,2,0
2025-03-28T18:52:26.292Z,23.59,8560.72,15775.61,54.27,4.76,5.51,1.51,2,0
2025-03-28T18:52:27.298Z,12.25,8571.99,15775.61,54.34,4.77,5.51,1.51,2,0
2025-03-28T18:52:28.313Z,18.21,8553.55,15775.61,54.22,4.77,5.51,1.51,2,0
2025-03-28T18:52:29.314Z,14.36,8565.72,15775.61,54.30,4.78,5.51,1.51,2,0
2025-03-28T18:52:30.320Z,13.53,8565.62,15775.61,54.30,4.79,5.51,1.51,2,0
2025-03-28T18:52:31.326Z,15.89,8573.69,15775.61,54.35,4.80,5.51,1.51,2,0
2025-03-28T18:52:32.329Z,22.09,8588.33,15775.61,54.44,4.81,5.51,1.51,2,0
2025-03-28T18:52:33.335Z,26.22,8575.69,15775.61,54.36,4.81,5.51,1.51,2,0
2025-03-28T18:52:34.339Z,16.35,8578.10,15775.61,54.38,4.82,5.51,1.51,2,0
2025-03-28T18:52:35.350Z,13.56,8583.32,15775.61,54.41,4.83,5.51,1.51,2,0
2025-03-28T18:52:36.352Z,16.72,8580.15,15775.61,54.39,4.28,5.51,1.51,2,0
2025-03-28T18:52:37.364Z,15.22,8597.70,15775.61,54.50,4.29,5.51,1.51,2,0
2025-03-28T18:52:38.370Z,16.06,8599.71,15775.61,54.51,4.29,5.51,1.51,2,0
2025-03-28T18:52:39.379Z,14.08,8623.88,15775.61,54.67,4.30,5.51,1.51,2,0
2025-03-28T18:52:40.388Z,14.68,8604.57,15775.61,54.54,4.31,5.51,1.51,2,0
2025-03-28T18:52:41.392Z,22.06,8614.52,15775.61,54.61,4.32,5.51,1.51,2,0
2025-03-28T18:52:42.396Z,15.47,8596.91,15775.61,54.49,4.33,5.51,1.51,2,0
2025-03-28T18:52:43.396Z,15.3,8595.52,15775.61,54.49,4.33,5.51,1.51,2,0
2025-03-28T18:52:44.402Z,14.26,8604.54,15775.61,54.54,4.34,5.51,1.51,2,0
2025-03-28T18:52:45.406Z,10.87,8599.57,15775.61,54.51,4.35,5.51,1.51,2,0
2025-03-28T18:52:46.414Z,17.21,8607.20,15775.61,54.56,4.36,5.51,1.51,2,0
2025-03-28T18:52:47.423Z,14.08,8613.41,15775.61,54.60,4.37,5.51,1.51,2,0
2025-03-28T18:52:48.431Z,22.96,8613.86,15775.61,54.60,4.38,5.51,1.51,2,0
2025-03-28T18:52:49.445Z,20.5,8602.64,15775.61,54.53,4.38,5.51,1.51,2,0
2025-03-28T18:52:50.452Z,12.61,8616.05,15775.61,54.62,4.39,5.51,1.51,2,0
2025-03-28T18:52:51.459Z,11.82,8616.92,15775.61,54.62,4.40,5.51,1.51,2,0
2025-03-28T18:52:52.467Z,12.11,8634.19,15775.61,54.73,4.41,5.51,1.51,2,0
2025-03-28T18:52:53.477Z,19.4,8625.23,15775.61,54.67,4.42,5.51,1.51,2,0
2025-03-28T18:52:54.479Z,13.87,8628.07,15775.61,54.69,4.42,5.51,1.51,2,0
2025-03-28T18:52:55.484Z,17.66,8636.52,15775.61,54.75,4.43,5.51,1.51,2,0
2025-03-28T18:52:56.493Z,14.16,8636.16,15775.61,54.74,4.44,5.51,1.51,2,0
2025-03-28T18:52:57.504Z,21.44,8630.98,15775.61,54.71,4.45,5.51,1.51,2,0
2025-03-28T18:52:58.506Z,13.03,8627.97,15775.61,54.69,4.46,5.51,1.51,2,0
2025-03-28T18:52:59.515Z,13.54,8635.52,15775.61,54.74,4.46,5.51,1.51,2,0
2025-03-28T18:53:00.528Z,20.12,8634.97,15775.61,54.74,4.47,5.51,1.51,2,0
2025-03-28T18:53:01.535Z,13.41,8641.47,15775.61,54.78,4.48,5.51,1.51,2,0
2025-03-28T18:53:02.540Z,13.27,8644.05,15775.61,54.79,4.49,5.51,1.51,2,0
2025-03-28T18:53:03.545Z,14.05,8645.34,15775.61,54.80,4.50,5.51,1.51,2,0
2025-03-28T18:53:04.558Z,19.19,8648.84,15775.61,54.82,4.50,5.51,1.51,2,0
2025-03-28T18:53:05.568Z,21.99,8652.39,15775.61,54.85,4.51,5.51,1.51,2,0
2025-03-28T18:53:06.578Z,15.09,8639.53,15775.61,54.77,4.52,5.51,1.51,2,0
2025-03-28T18:53:07.589Z,16.61,8642.67,15775.61,54.79,4.53,5.51,1.51,2,0
2025-03-28T18:53:08.594Z,17.86,8651.08,15775.61,54.84,4.54,5.51,1.51,2,0
2025-03-28T18:53:09.601Z,15.97,8650.58,15775.61,54.84,4.54,5.51,1.51,2,0
2025-03-28T18:53:10.603Z,14.67,8652.79,15775.61,54.85,4.55,5.51,1.51,2,0
2025-03-28T18:53:11.610Z,9.75,8654.49,15775.61,54.86,4.56,5.51,1.51,2,0
2025-03-28T18:53:12.614Z,26.68,8638.07,15775.61,54.76,4.57,5.51,1.51,2,0
2025-03-28T18:53:13.618Z,17.42,8637.04,15775.61,54.75,4.58,5.51,1.51,2,0
2025-03-28T18:53:14.630Z,14.73,8650.14,15775.61,54.83,4.59,5.51,1.51,2,0
2025-03-28T18:53:15.641Z,11.34,8650.08,15775.61,54.83,4.59,5.51,1.51,2,0
2025-03-28T18:53:16.652Z,13.77,8654.90,15775.61,54.86,4.60,5.51,1.51,2,0
2025-03-28T18:53:17.658Z,16.71,8650.14,15775.61,54.83,4.61,5.51,1.51,2,0
2025-03-28T18:53:18.663Z,15.7,8669.66,15775.61,54.96,4.62,5.51,1.51,2,0
2025-03-28T18:53:19.664Z,23.03,8646.41,15775.61,54.81,4.63,5.51,1.51,2,0
2025-03-28T18:53:20.668Z,17.78,8650.23,15775.61,54.83,4.63,5.51,1.51,2,0
2025-03-28T18:53:21.675Z,21.72,8662.10,15775.61,54.91,4.64,5.51,1.51,2,0
2025-03-28T18:53:22.679Z,14.82,8663.99,15775.61,54.92,4.65,5.51,1.51,2,0
2025-03-28T18:53:23.680Z,20.84,8663.91,15775.61,54.92,4.66,5.51,1.51,2,0
2025-03-28T18:53:24.693Z,20.37,8666.76,15775.61,54.94,4.67,5.51,1.51,2,0
2025-03-28T18:53:25.701Z,17.55,8672.72,15775.61,54.98,4.67,5.51,1.51,2,0
2025-03-28T18:53:26.711Z,22.79,8681.62,15775.61,55.03,4.68,5.51,1.51,2,0
2025-03-28T18:53:27.721Z,13.43,8668.90,15775.61,54.95,4.69,5.51,1.51,2,0
2025-03-28T18:53:28.728Z,16.58,8677.98,15775.61,55.01,4.70,5.51,1.51,2,0
2025-03-28T18:53:29.729Z,16.09,8682.51,15775.61,55.04,4.71,5.51,1.51,2,0
2025-03-28T18:53:30.743Z,14.34,8689.18,15775.61,55.08,4.71,5.51,1.51,2,0
