timestamp,cpu_load,memory_used_mb,memory_total_mb,memory_percent,heap_used_mb,heap_total_mb,external_memory_mb,active_handles,active_requests
2025-03-30T14:41:52.203Z,18.57,7872.22,15775.61,49.90,4.49,5.51,1.51,2,0
2025-03-30T14:41:53.205Z,13.3,7885.47,15775.61,49.99,4.51,5.51,1.51,2,0
2025-03-30T14:41:54.214Z,24.78,7906.13,15775.61,50.12,4.52,5.51,1.51,2,0
2025-03-30T14:41:55.224Z,16.62,7919.25,15775.61,50.20,4.52,5.51,1.51,2,0
2025-03-30T14:41:56.234Z,22.57,7908.42,15775.61,50.13,4.53,5.51,1.51,2,0
2025-03-30T14:41:57.240Z,17.04,7891.85,15775.61,50.03,4.55,5.51,1.51,2,0
2025-03-30T14:41:58.251Z,16.27,7815.23,15775.61,49.54,4.56,5.51,1.51,2,0
2025-03-30T14:41:59.264Z,20.33,7830.34,15775.61,49.64,4.57,5.51,1.51,2,0
2025-03-30T14:42:00.273Z,14.32,7850.52,15775.61,49.76,4.59,5.51,1.51,2,0
2025-03-30T14:42:01.288Z,21.12,7847.91,15775.61,49.75,4.62,5.51,1.51,2,0
2025-03-30T14:42:02.300Z,14.51,7825.91,15775.61,49.61,4.63,5.51,1.51,2,0
2025-03-30T14:42:03.306Z,14.42,7833.46,15775.61,49.66,4.64,5.51,1.51,2,0
2025-03-30T14:42:04.319Z,10.44,7843.18,15775.61,49.72,4.65,5.51,1.51,2,0
2025-03-30T14:42:05.332Z,25.35,7688.98,15775.61,48.74,4.66,5.51,1.51,2,0
2025-03-30T14:42:06.336Z,13.48,7682.54,15775.61,48.70,4.67,5.51,1.51,2,0
2025-03-30T14:42:07.350Z,18.52,7676.23,15775.61,48.66,4.68,5.51,1.51,2,0
2025-03-30T14:42:08.350Z,14.41,7691.41,15775.61,48.76,4.68,5.51,1.51,2,0
2025-03-30T14:42:09.361Z,13.94,7697.26,15775.61,48.79,4.69,5.51,1.51,2,0
2025-03-30T14:42:10.376Z,12.48,7706.45,15775.61,48.85,4.70,5.51,1.51,2,0
2025-03-30T14:42:11.388Z,27.26,7705.66,15775.61,48.85,4.71,5.51,1.51,2,0
2025-03-30T14:42:12.388Z,13.95,7703.91,15775.61,48.83,4.72,5.51,1.51,2,0
2025-03-30T14:42:13.398Z,14.84,7710.28,15775.61,48.87,4.73,5.51,1.51,2,0
2025-03-30T14:42:14.408Z,16.36,7717.24,15775.61,48.92,4.73,5.51,1.51,2,0
2025-03-30T14:42:15.418Z,17.57,7718.40,15775.61,48.93,4.74,5.51,1.51,2,0
2025-03-30T14:42:16.431Z,21.64,7710.07,15775.61,48.87,4.75,5.51,1.51,2,0
2025-03-30T14:42:17.447Z,11.72,7709.28,15775.61,48.87,4.76,5.51,1.51,2,0
2025-03-30T14:42:18.451Z,14.21,7720.16,15775.61,48.94,4.77,5.51,1.51,2,0
2025-03-30T14:42:19.455Z,15.4,7723.98,15775.61,48.96,4.77,5.51,1.51,2,0
2025-03-30T14:42:20.457Z,21.44,7714.62,15775.61,48.90,4.78,5.51,1.51,2,0
2025-03-30T14:42:21.469Z,11.69,7717.97,15775.61,48.92,4.79,5.51,1.51,2,0
2025-03-30T14:42:22.481Z,18.94,7720.94,15775.61,48.94,4.80,5.51,1.51,2,0
2025-03-30T14:42:23.487Z,14.56,7728.54,15775.61,48.99,4.81,5.51,1.51,2,0
2025-03-30T14:42:24.497Z,21.19,7733.32,15775.61,49.02,4.81,5.51,1.51,2,0
2025-03-30T14:42:25.511Z,17.15,7722.47,15775.61,48.95,4.82,5.51,1.51,2,0
2025-03-30T14:42:26.521Z,13.11,7730.07,15775.61,49.00,4.83,5.51,1.51,2,0
2025-03-30T14:42:27.536Z,19.85,7735.11,15775.61,49.03,4.28,5.51,1.51,2,0
2025-03-30T14:42:28.551Z,19.02,7742.43,15775.61,49.08,4.29,5.51,1.51,2,0
2025-03-30T14:42:29.551Z,15.73,7742.34,15775.61,49.08,4.30,5.51,1.51,2,0
2025-03-30T14:42:30.566Z,14.7,7738.53,15775.61,49.05,4.31,5.51,1.51,2,0
2025-03-30T14:42:31.582Z,14.43,7749.83,15775.61,49.13,4.31,5.51,1.51,2,0
2025-03-30T14:42:32.584Z,13.82,7749.27,15775.61,49.12,4.32,5.51,1.51,2,0
2025-03-30T14:42:33.585Z,21.62,7738.49,15775.61,49.05,4.33,5.51,1.51,2,0
2025-03-30T14:42:34.585Z,16.08,7745.95,15775.61,49.10,4.34,5.51,1.51,2,0
2025-03-30T14:42:35.596Z,11.38,7714.89,15775.61,48.90,4.35,5.51,1.51,2,0
2025-03-30T14:42:36.611Z,11.83,7715.73,15775.61,48.91,4.35,5.51,1.51,2,0
2025-03-30T14:42:37.619Z,20.65,7725.32,15775.61,48.97,4.36,5.51,1.51,2,0
2025-03-30T14:42:38.625Z,14.94,7707.07,15775.61,48.85,4.37,5.51,1.51,2,0
2025-03-30T14:42:39.633Z,15.66,7717.56,15775.61,48.92,4.38,5.51,1.51,2,0
2025-03-30T14:42:40.643Z,16.04,7723.66,15775.61,48.96,4.39,5.51,1.51,2,0
2025-03-30T14:42:41.652Z,22.14,7715.29,15775.61,48.91,4.39,5.51,1.51,2,0
2025-03-30T14:42:42.666Z,14.83,7719.53,15775.61,48.93,4.40,5.51,1.51,2,0
2025-03-30T14:42:43.675Z,18.43,7721.91,15775.61,48.95,4.41,5.51,1.51,2,0
2025-03-30T14:42:44.680Z,19.68,7743.02,15775.61,49.08,4.42,5.51,1.51,2,0
2025-03-30T14:42:45.694Z,16.5,7729.80,15775.61,49.00,4.43,5.51,1.51,2,0
2025-03-30T14:42:46.705Z,17.8,7733.34,15775.61,49.02,4.44,5.51,1.51,2,0
2025-03-30T14:42:47.716Z,18.62,7734.86,15775.61,49.03,4.44,5.51,1.51,2,0
2025-03-30T14:42:48.723Z,18.22,7742.33,15775.61,49.08,4.45,5.51,1.51,2,0
2025-03-30T14:42:49.735Z,15.64,7731.29,15775.61,49.01,4.46,5.51,1.51,2,0
2025-03-30T14:42:50.748Z,18.24,7742.04,15775.61,49.08,4.47,5.51,1.51,2,0
2025-03-30T14:42:51.750Z,16.99,7739.26,15775.61,49.06,4.48,5.51,1.51,2,0
2025-03-30T14:42:52.755Z,17.95,7745.44,15775.61,49.10,4.48,5.51,1.51,2,0
2025-03-30T14:42:53.764Z,14.58,7758.09,15775.61,49.18,4.49,5.51,1.51,2,0
2025-03-30T14:42:54.767Z,21.8,7741.71,15775.61,49.07,4.50,5.51,1.51,2,0
2025-03-30T14:42:55.769Z,17.23,7743.52,15775.61,49.09,4.51,5.51,1.51,2,0
2025-03-30T14:42:56.771Z,16.01,7760.89,15775.61,49.20,4.52,5.51,1.51,2,0
2025-03-30T14:42:57.783Z,16.86,7760.83,15775.61,49.20,4.52,5.51,1.51,2,0
2025-03-30T14:42:58.784Z,21.14,7745.35,15775.61,49.10,4.53,5.51,1.51,2,0
2025-03-30T14:42:59.786Z,15.08,7760.88,15775.61,49.20,4.54,5.51,1.51,2,0
2025-03-30T14:43:00.792Z,14.56,7763.83,15775.61,49.21,4.55,5.51,1.51,2,0
