timestamp,cpu_load,memory_used_mb,memory_total_mb,memory_percent,heap_used_mb,heap_total_mb,external_memory_mb,active_handles,active_requests
2025-03-30T14:15:05.469Z,25.91,8102.15,15775.61,51.36,4.49,5.51,1.51,2,0
2025-03-30T14:15:06.471Z,16.25,8113.55,15775.61,51.43,4.51,5.51,1.51,2,0
2025-03-30T14:15:07.472Z,16.18,8140.52,15775.61,51.60,4.52,5.51,1.51,2,0
2025-03-30T14:15:08.488Z,19.27,8167.95,15775.61,51.78,4.52,5.51,1.51,2,0
2025-03-30T14:15:09.496Z,14.26,8183.07,15775.61,51.87,4.53,5.51,1.51,2,0
2025-03-30T14:15:10.509Z,16.86,8184.89,15775.61,51.88,4.55,5.51,1.51,2,0
2025-03-30T14:15:11.521Z,20.28,8075.82,15775.61,51.19,4.56,5.51,1.51,2,0
2025-03-30T14:15:12.522Z,17.06,8072.95,15775.61,51.17,4.57,5.51,1.51,2,0
2025-03-30T14:15:13.538Z,21.96,8075.82,15775.61,51.19,4.59,5.51,1.51,2,0
2025-03-30T14:15:14.537Z,13.68,8096.70,15775.61,51.32,4.62,5.51,1.51,2,0
2025-03-30T14:15:15.540Z,25.83,7956.61,15775.61,50.44,4.63,5.51,1.51,2,0
2025-03-30T14:15:16.554Z,31.19,7558.91,15775.61,47.92,4.64,5.51,1.51,2,0
2025-03-30T14:15:17.569Z,19.08,7373.62,15775.61,46.74,4.65,5.51,1.51,2,0
2025-03-30T14:15:18.572Z,17.72,7333.02,15775.61,46.48,4.66,5.51,1.51,2,0
2025-03-30T14:15:19.585Z,21.3,7288.00,15775.61,46.20,4.67,5.51,1.51,2,0
2025-03-30T14:15:20.589Z,16.03,7290.28,15775.61,46.21,4.68,5.51,1.51,2,0
2025-03-30T14:15:21.605Z,14.11,7297.96,15775.61,46.26,4.68,5.51,1.51,2,0
2025-03-30T14:15:22.612Z,17.55,7281.41,15775.61,46.16,4.69,5.51,1.51,2,0
2025-03-30T14:15:23.624Z,12.95,7298.54,15775.61,46.26,4.70,5.51,1.51,2,0
2025-03-30T14:15:24.627Z,15.83,7315.61,15775.61,46.37,4.71,5.51,1.51,2,0
2025-03-30T14:15:25.635Z,14.05,7326.29,15775.61,46.44,4.72,5.51,1.51,2,0
2025-03-30T14:15:26.637Z,17.71,7284.63,15775.61,46.18,4.73,5.51,1.51,2,0
2025-03-30T14:15:27.652Z,14.71,7293.13,15775.61,46.23,4.73,5.51,1.51,2,0
2025-03-30T14:15:28.660Z,9.95,7300.10,15775.61,46.27,4.74,5.51,1.51,2,0
2025-03-30T14:15:29.673Z,9.59,7302.40,15775.61,46.29,4.75,5.51,1.51,2,0
2025-03-30T14:15:30.673Z,18.68,7298.37,15775.61,46.26,4.76,5.51,1.51,2,0
2025-03-30T14:15:31.686Z,13.67,7310.45,15775.61,46.34,4.77,5.51,1.51,2,0
2025-03-30T14:15:32.692Z,9.72,7323.35,15775.61,46.42,4.77,5.51,1.51,2,0
2025-03-30T14:15:33.706Z,12.82,7312.93,15775.61,46.36,4.78,5.51,1.51,2,0
2025-03-30T14:15:34.720Z,13.83,7316.48,15775.61,46.38,4.79,5.51,1.51,2,0
2025-03-30T14:15:35.733Z,14.54,7333.76,15775.61,46.49,4.80,5.51,1.51,2,0
2025-03-30T14:15:36.736Z,15.5,7324.67,15775.61,46.43,4.81,5.51,1.51,2,0
2025-03-30T14:15:37.737Z,15.98,7313.58,15775.61,46.36,4.81,5.51,1.51,2,0
2025-03-30T14:15:38.738Z,9.11,7321.52,15775.61,46.41,4.82,5.51,1.51,2,0
2025-03-30T14:15:39.753Z,13.93,7326.92,15775.61,46.44,4.83,5.51,1.51,2,0
2025-03-30T14:15:40.757Z,15.41,7337.35,15775.61,46.51,4.28,5.51,1.51,2,0
2025-03-30T14:15:41.768Z,13.62,7324.38,15775.61,46.43,4.29,5.51,1.51,2,0
2025-03-30T14:15:42.776Z,15.03,7333.89,15775.61,46.49,4.30,5.51,1.51,2,0
2025-03-30T14:15:43.788Z,12.26,7335.12,15775.61,46.50,4.31,5.51,1.51,2,0
2025-03-30T14:15:44.801Z,15.44,7329.03,15775.61,46.46,4.31,5.51,1.51,2,0
2025-03-30T14:15:45.802Z,13.47,7325.25,15775.61,46.43,4.32,5.51,1.51,2,0
2025-03-30T14:15:46.808Z,14.2,7342.63,15775.61,46.54,4.33,5.51,1.51,2,0
2025-03-30T14:15:47.817Z,8.84,7351.00,15775.61,46.60,4.34,5.51,1.51,2,0
2025-03-30T14:15:48.831Z,15.85,7358.79,15775.61,46.65,4.35,5.51,1.51,2,0
2025-03-30T14:15:49.846Z,9.07,7352.14,15775.61,46.60,4.35,5.51,1.51,2,0
2025-03-30T14:15:50.846Z,8.68,7360.48,15775.61,46.66,4.36,5.51,1.51,2,0
2025-03-30T14:15:51.852Z,13.53,7352.54,15775.61,46.61,4.37,5.51,1.51,2,0
2025-03-30T14:15:52.863Z,10.46,7357.48,15775.61,46.64,4.38,5.51,1.51,2,0
2025-03-30T14:15:53.870Z,15.03,7364.29,15775.61,46.68,4.39,5.51,1.51,2,0
2025-03-30T14:15:54.870Z,12.74,7370.83,15775.61,46.72,4.39,5.51,1.51,2,0
2025-03-30T14:15:55.871Z,19.1,7367.89,15775.61,46.70,4.40,5.51,1.51,2,0
2025-03-30T14:15:56.881Z,12.26,7368.09,15775.61,46.71,4.41,5.51,1.51,2,0
2025-03-30T14:15:57.891Z,8.85,7372.84,15775.61,46.74,4.42,5.51,1.51,2,0
2025-03-30T14:15:58.900Z,10.54,7380.47,15775.61,46.78,4.43,5.51,1.51,2,0
2025-03-30T14:15:59.914Z,17.08,7357.30,15775.61,46.64,4.44,5.51,1.51,2,0
2025-03-30T14:16:00.922Z,10.15,7375.12,15775.61,46.75,4.44,5.51,1.51,2,0
2025-03-30T14:16:01.934Z,13.29,7389.48,15775.61,46.84,4.45,5.51,1.51,2,0
2025-03-30T14:16:02.942Z,16.32,7369.84,15775.61,46.72,4.46,5.51,1.51,2,0
2025-03-30T14:16:03.952Z,10.55,7383.47,15775.61,46.80,4.47,5.51,1.51,2,0
2025-03-30T14:16:04.953Z,13.25,7372.46,15775.61,46.73,4.48,5.51,1.51,2,0
2025-03-30T14:16:05.955Z,16.48,7378.79,15775.61,46.77,4.48,5.51,1.51,2,0
2025-03-30T14:16:06.964Z,15.58,7363.22,15775.61,46.67,4.49,5.51,1.51,2,0
2025-03-30T14:16:07.975Z,9.54,7368.34,15775.61,46.71,4.50,5.51,1.51,2,0
2025-03-30T14:16:08.986Z,12.5,7376.88,15775.61,46.76,4.51,5.51,1.51,2,0
2025-03-30T14:16:09.986Z,12.14,7374.95,15775.61,46.75,4.52,5.51,1.51,2,0
2025-03-30T14:16:10.995Z,15.68,7362.33,15775.61,46.67,4.52,5.51,1.51,2,0
2025-03-30T14:16:12.004Z,9.62,7368.71,15775.61,46.71,4.53,5.51,1.51,2,0
2025-03-30T14:16:13.018Z,9.62,7343.04,15775.61,46.55,4.54,5.51,1.51,2,0
2025-03-30T14:16:14.032Z,8.31,7321.02,15775.61,46.41,4.55,5.51,1.51,2,0
2025-03-30T14:16:15.035Z,11.05,7337.17,15775.61,46.51,4.56,5.51,1.51,2,0
2025-03-30T14:16:16.037Z,12.48,7331.46,15775.61,46.47,4.56,5.51,1.51,2,0
2025-03-30T14:16:17.040Z,11.02,7340.63,15775.61,46.53,4.57,5.51,1.51,2,0
2025-03-30T14:16:18.053Z,14.58,7334.10,15775.61,46.49,4.58,5.51,1.51,2,0
2025-03-30T14:16:19.066Z,9.06,7330.18,15775.61,46.47,4.59,5.51,1.51,2,0
2025-03-30T14:16:20.079Z,8.99,7337.01,15775.61,46.51,4.60,5.51,1.51,2,0
2025-03-30T14:16:21.094Z,16.35,7368.09,15775.61,46.71,4.60,5.51,1.51,2,0
2025-03-30T14:16:22.094Z,29.37,7409.02,15775.61,46.97,4.61,5.51,1.51,2,0
2025-03-30T14:16:23.107Z,21.56,7409.97,15775.61,46.97,4.62,5.51,1.51,2,0
2025-03-30T14:16:24.120Z,11.77,7411.68,15775.61,46.98,4.63,5.51,1.51,2,0
2025-03-30T14:16:25.121Z,14.48,7395.13,15775.61,46.88,4.64,5.51,1.51,2,0
2025-03-30T14:16:26.121Z,15.12,7382.28,15775.61,46.80,4.65,5.51,1.51,2,0
2025-03-30T14:16:27.129Z,8.91,7380.31,15775.61,46.78,4.65,5.51,1.51,2,0
2025-03-30T14:16:28.140Z,13.62,7408.49,15775.61,46.96,4.66,5.51,1.51,2,0
2025-03-30T14:16:29.153Z,22.62,7407.58,15775.61,46.96,4.67,5.51,1.51,2,0
2025-03-30T14:16:30.163Z,17.17,7391.60,15775.61,46.85,4.68,5.51,1.51,2,0
2025-03-30T14:16:31.169Z,10.37,7397.86,15775.61,46.89,4.69,5.51,1.51,2,0
2025-03-30T14:16:32.170Z,9.26,7395.84,15775.61,46.88,4.69,5.51,1.51,2,0
2025-03-30T14:16:33.174Z,15.31,7384.49,15775.61,46.81,4.70,5.51,1.51,2,0
2025-03-30T14:16:34.185Z,10.68,7385.61,15775.61,46.82,4.71,5.51,1.51,2,0
2025-03-30T14:16:35.187Z,10.74,7398.13,15775.61,46.90,4.72,5.51,1.51,2,0
2025-03-30T14:16:36.187Z,8.61,7397.97,15775.61,46.90,4.73,5.51,1.51,2,0
2025-03-30T14:16:37.202Z,17.42,7391.96,15775.61,46.86,4.73,5.51,1.51,2,0
2025-03-30T14:16:38.203Z,11.75,7393.58,15775.61,46.87,4.74,5.51,1.51,2,0
2025-03-30T14:16:39.206Z,11.33,7401.57,15775.61,46.92,4.75,5.51,1.51,2,0
2025-03-30T14:16:40.221Z,16.41,7404.52,15775.61,46.94,4.76,5.51,1.51,2,0
2025-03-30T14:16:41.223Z,12.07,7409.05,15775.61,46.97,4.77,5.51,1.51,2,0
2025-03-30T14:16:42.234Z,11.83,7411.87,15775.61,46.98,4.77,5.51,1.51,2,0
2025-03-30T14:16:43.241Z,10.38,7429.03,15775.61,47.09,4.78,5.51,1.51,2,0
2025-03-30T14:16:44.253Z,15.14,7431.96,15775.61,47.11,4.79,5.51,1.51,2,0
2025-03-30T14:16:45.253Z,12.51,7440.10,15775.61,47.16,4.80,5.51,1.51,2,0
2025-03-30T14:16:46.253Z,13.23,7454.43,15775.61,47.25,4.81,5.51,1.51,2,0
2025-03-30T14:16:47.263Z,9.5,7462.62,15775.61,47.30,4.81,5.51,1.51,2,0
2025-03-30T14:16:48.276Z,16.73,7460.16,15775.61,47.29,4.82,5.51,1.51,2,0
2025-03-30T14:16:49.287Z,10.64,7458.32,15775.61,47.28,4.83,5.51,1.51,2,0
2025-03-30T14:16:50.287Z,9.36,7458.15,15775.61,47.28,4.30,6.01,1.51,2,0
2025-03-30T14:16:51.301Z,8.33,7465.91,15775.61,47.33,4.31,6.01,1.51,2,0
2025-03-30T14:16:52.303Z,14.78,7463.14,15775.61,47.31,4.31,6.01,1.51,2,0
2025-03-30T14:16:53.306Z,12.68,7458.61,15775.61,47.28,4.32,6.01,1.51,2,0
2025-03-30T14:16:54.319Z,12.66,7485.88,15775.61,47.45,4.33,6.01,1.51,2,0
2025-03-30T14:16:55.322Z,14.44,7495.43,15775.61,47.51,4.34,6.01,1.51,2,0
2025-03-30T14:16:56.332Z,13.93,7476.67,15775.61,47.39,4.35,6.01,1.51,2,0
2025-03-30T14:16:57.345Z,9.74,7487.90,15775.61,47.47,4.35,6.01,1.51,2,0
2025-03-30T14:16:58.352Z,9.08,7493.17,15775.61,47.50,4.05,5.76,1.51,2,0
2025-03-30T14:16:59.354Z,17.73,7493.25,15775.61,47.50,4.06,5.76,1.51,2,0
2025-03-30T14:17:00.354Z,15.19,7497.35,15775.61,47.52,4.07,5.76,1.51,2,0
2025-03-30T14:17:01.369Z,11.24,7500.14,15775.61,47.54,4.08,5.76,1.51,2,0
2025-03-30T14:17:02.378Z,10.45,7498.69,15775.61,47.53,4.09,5.76,1.51,2,0
2025-03-30T14:17:03.391Z,16.85,7498.32,15775.61,47.53,4.09,5.76,1.51,2,0
2025-03-30T14:17:04.405Z,16.05,7495.82,15775.61,47.52,4.10,5.76,1.51,2,0
2025-03-30T14:17:05.408Z,14.68,7531.88,15775.61,47.74,4.11,5.76,1.51,2,0
2025-03-30T14:17:06.408Z,15.21,7503.43,15775.61,47.56,4.12,5.76,1.51,2,0
2025-03-30T14:17:07.408Z,13.78,7502.09,15775.61,47.55,4.13,5.76,1.51,2,0
2025-03-30T14:17:08.411Z,10.68,7497.33,15775.61,47.52,4.13,5.76,1.51,2,0
2025-03-30T14:17:09.423Z,8.29,7501.36,15775.61,47.55,4.14,5.76,1.51,2,0
2025-03-30T14:17:10.436Z,19.55,7487.21,15775.61,47.46,4.15,5.76,1.51,2,0
2025-03-30T14:17:11.438Z,11.58,7492.90,15775.61,47.50,4.16,5.76,1.51,2,0
2025-03-30T14:17:12.444Z,14.89,7496.31,15775.61,47.52,4.17,5.76,1.51,2,0
2025-03-30T14:17:13.456Z,7.92,7501.99,15775.61,47.55,4.17,5.76,1.51,2,0
2025-03-30T14:17:14.456Z,13.38,7495.15,15775.61,47.51,4.18,5.76,1.51,2,0
2025-03-30T14:17:15.468Z,11.31,7493.64,15775.61,47.50,4.19,5.76,1.51,2,0
2025-03-30T14:17:16.469Z,12.51,7508.18,15775.61,47.59,4.20,5.76,1.51,2,0
2025-03-30T14:17:17.469Z,9.77,7506.81,15775.61,47.58,4.21,5.76,1.51,2,0
2025-03-30T14:17:18.469Z,18.02,7497.10,15775.61,47.52,4.21,5.76,1.51,2,0
