timestamp,cpu_load,memory_used_mb,memory_total_mb,memory_percent,heap_used_mb,heap_total_mb,external_memory_mb,active_handles,active_requests
2025-03-30T17:04:45.667Z,9.57,8447.44,15775.61,53.55,4.49,5.51,1.51,2,0
2025-03-30T17:04:46.671Z,10.01,8476.13,15775.61,53.73,4.51,5.51,1.51,2,0
2025-03-30T17:04:47.680Z,8.19,8452.41,15775.61,53.58,4.52,5.51,1.51,2,0
2025-03-30T17:04:48.686Z,6.88,8455.00,15775.61,53.60,4.52,5.51,1.51,2,0
2025-03-30T17:04:49.702Z,6.67,8454.58,15775.61,53.59,4.53,5.51,1.51,2,0
2025-03-30T17:04:50.708Z,7.21,8461.62,15775.61,53.64,4.55,5.51,1.51,2,0
2025-03-30T17:04:51.717Z,10.63,8360.55,15775.61,53.00,4.56,5.51,1.51,2,0
2025-03-30T17:04:52.718Z,18.34,8219.93,15775.61,52.11,4.57,5.51,1.51,2,0
2025-03-30T17:04:53.720Z,7.07,8216.20,15775.61,52.08,4.60,5.51,1.51,2,0
2025-03-30T17:04:54.720Z,7.1,8226.89,15775.61,52.15,4.62,5.51,1.51,2,0
2025-03-30T17:04:55.731Z,10.97,8237.55,15775.61,52.22,4.63,5.51,1.51,2,0
2025-03-30T17:04:56.736Z,8.5,8239.03,15775.61,52.23,4.64,5.51,1.51,2,0
2025-03-30T17:04:57.751Z,12.9,8275.35,15775.61,52.46,4.65,5.51,1.51,2,0
2025-03-30T17:04:58.765Z,14.55,8246.15,15775.61,52.27,4.66,5.51,1.51,2,0
2025-03-30T17:04:59.779Z,24.64,7924.42,15775.61,50.23,4.67,5.51,1.51,2,0
2025-03-30T17:05:00.784Z,9.44,7944.51,15775.61,50.36,4.68,5.51,1.51,2,0
2025-03-30T17:05:01.786Z,6.69,7946.72,15775.61,50.37,4.68,5.51,1.51,2,0
2025-03-30T17:05:02.800Z,7.15,7956.15,15775.61,50.43,4.69,5.51,1.51,2,0
2025-03-30T17:05:03.808Z,12.68,7971.57,15775.61,50.53,4.70,5.51,1.51,2,0
2025-03-30T17:05:04.809Z,5.33,7976.58,15775.61,50.56,4.71,5.51,1.51,2,0
2025-03-30T17:05:05.817Z,7.02,7984.45,15775.61,50.61,4.72,5.51,1.51,2,0
2025-03-30T17:05:06.830Z,4.51,7981.55,15775.61,50.59,4.73,5.51,1.51,2,0
2025-03-30T17:05:07.843Z,6.75,7989.46,15775.61,50.64,4.73,5.51,1.51,2,0
2025-03-30T17:05:08.851Z,5.76,7988.20,15775.61,50.64,4.74,5.51,1.51,2,0
2025-03-30T17:05:09.852Z,12.3,8010.29,15775.61,50.78,4.75,5.51,1.51,2,0
2025-03-30T17:05:10.860Z,9.58,8002.75,15775.61,50.73,4.76,5.51,1.51,2,0
2025-03-30T17:05:11.865Z,14.6,7986.61,15775.61,50.63,4.77,5.51,1.51,2,0
2025-03-30T17:05:12.867Z,10.44,7993.60,15775.61,50.67,4.78,5.51,1.51,2,0
2025-03-30T17:05:13.867Z,8.62,7992.41,15775.61,50.66,4.78,5.51,1.51,2,0
2025-03-30T17:05:14.881Z,11.34,8000.61,15775.61,50.72,4.79,5.51,1.51,2,0
2025-03-30T17:05:15.888Z,6.65,8002.53,15775.61,50.73,4.80,5.51,1.51,2,0
2025-03-30T17:05:16.897Z,9.37,8011.78,15775.61,50.79,4.81,5.51,1.51,2,0
2025-03-30T17:05:17.909Z,8.27,8012.93,15775.61,50.79,4.82,5.51,1.51,2,0
2025-03-30T17:05:18.919Z,9.38,8016.67,15775.61,50.82,4.82,5.51,1.51,2,0
2025-03-30T17:05:19.933Z,8.89,8015.40,15775.61,50.81,4.83,5.51,1.51,2,0
2025-03-30T17:05:20.935Z,11.81,8023.04,15775.61,50.86,4.28,5.51,1.51,2,0
2025-03-30T17:05:21.945Z,8.57,8022.48,15775.61,50.85,4.29,5.51,1.51,2,0
2025-03-30T17:05:22.957Z,8.68,8047.60,15775.61,51.01,4.30,5.51,1.51,2,0
2025-03-30T17:05:23.963Z,15.1,8020.48,15775.61,50.84,4.30,5.51,1.51,2,0
2025-03-30T17:05:24.969Z,10.98,8016.55,15775.61,50.82,4.31,5.51,1.51,2,0
2025-03-30T17:05:25.984Z,11.06,8014.82,15775.61,50.81,4.32,5.51,1.51,2,0
2025-03-30T17:05:26.998Z,14.53,8025.88,15775.61,50.88,4.33,5.51,1.51,2,0
2025-03-30T17:05:28.005Z,10.71,8030.00,15775.61,50.90,4.34,5.51,1.51,2,0
2025-03-30T17:05:29.010Z,10.01,8030.68,15775.61,50.91,4.35,5.51,1.51,2,0
2025-03-30T17:05:30.018Z,12.01,8032.11,15775.61,50.91,4.35,5.51,1.51,2,0
2025-03-30T17:05:31.032Z,9.69,8008.55,15775.61,50.77,4.36,5.51,1.51,2,0
2025-03-30T17:05:32.043Z,18.86,7999.54,15775.61,50.71,4.37,5.51,1.51,2,0
2025-03-30T17:05:33.051Z,10.88,8013.06,15775.61,50.79,4.38,5.51,1.51,2,0
2025-03-30T17:05:34.052Z,9.21,8018.11,15775.61,50.83,4.39,5.51,1.51,2,0
2025-03-30T17:05:35.055Z,16.91,8005.02,15775.61,50.74,4.39,5.51,1.51,2,0
2025-03-30T17:05:36.056Z,10.13,8023.60,15775.61,50.86,4.40,5.51,1.51,2,0
2025-03-30T17:05:37.067Z,10.51,7999.84,15775.61,50.71,4.41,5.51,1.51,2,0
2025-03-30T17:05:38.075Z,13.28,8003.86,15775.61,50.74,4.42,5.51,1.51,2,0
2025-03-30T17:05:39.085Z,11.25,8008.42,15775.61,50.76,4.43,5.51,1.51,2,0
2025-03-30T17:05:40.085Z,18.74,8020.36,15775.61,50.84,4.43,5.51,1.51,2,0
2025-03-30T17:05:41.091Z,12.63,8015.54,15775.61,50.81,4.44,5.51,1.51,2,0
2025-03-30T17:05:42.104Z,10.92,8019.28,15775.61,50.83,4.45,5.51,1.51,2,0
2025-03-30T17:05:43.119Z,18.02,8034.66,15775.61,50.93,4.46,5.51,1.51,2,0
2025-03-30T17:05:44.124Z,13.72,8030.28,15775.61,50.90,4.47,5.51,1.51,2,0
2025-03-30T17:05:45.138Z,19.89,8048.34,15775.61,51.02,4.47,5.51,1.51,2,0
