timestamp,cpu_load,memory_used_mb,memory_total_mb,memory_percent,heap_used_mb,heap_total_mb,external_memory_mb,active_handles,active_requests
2025-03-30T13:56:20.213Z,5.82,7974.41,15775.61,50.55,4.49,5.51,1.51,2,0
2025-03-30T13:56:21.213Z,6.45,7978.57,15775.61,50.58,4.51,5.51,1.51,2,0
2025-03-30T13:56:22.228Z,6.27,7971.50,15775.61,50.53,4.52,5.51,1.51,2,0
2025-03-30T13:56:23.233Z,7.29,7965.91,15775.61,50.50,4.52,5.51,1.51,2,0
2025-03-30T13:56:24.233Z,15.84,7967.04,15775.61,50.50,4.53,5.51,1.51,2,0
2025-03-30T13:56:25.246Z,9.24,7905.13,15775.61,50.11,4.55,5.51,1.51,2,0
2025-03-30T13:56:26.261Z,10.76,7819.24,15775.61,49.57,4.56,5.51,1.51,2,0
2025-03-30T13:56:27.264Z,10.28,7799.23,15775.61,49.44,4.57,5.51,1.51,2,0
2025-03-30T13:56:28.277Z,6.49,7796.88,15775.61,49.42,4.60,5.51,1.51,2,0
2025-03-30T13:56:29.280Z,6.51,7796.69,15775.61,49.42,4.62,5.51,1.51,2,0
2025-03-30T13:56:30.296Z,8.96,7780.37,15775.61,49.32,4.63,5.51,1.51,2,0
2025-03-30T13:56:31.308Z,6.92,7775.76,15775.61,49.29,4.64,5.51,1.51,2,0
2025-03-30T13:56:32.311Z,5.59,7788.47,15775.61,49.37,4.65,5.51,1.51,2,0
2025-03-30T13:56:33.328Z,13.49,7697.06,15775.61,48.79,4.66,5.51,1.51,2,0
2025-03-30T13:56:34.329Z,9.96,7685.82,15775.61,48.72,4.67,5.51,1.51,2,0
2025-03-30T13:56:35.342Z,11.86,7700.75,15775.61,48.81,4.68,5.51,1.51,2,0
2025-03-30T13:56:36.346Z,8.2,7692.48,15775.61,48.76,4.68,5.51,1.51,2,0
2025-03-30T13:56:37.347Z,6.34,7696.50,15775.61,48.79,4.69,5.51,1.51,2,0
2025-03-30T13:56:38.362Z,8.64,7706.32,15775.61,48.85,4.70,5.51,1.51,2,0
