timestamp,cpu_load,memory_used_mb,memory_total_mb,memory_percent,heap_used_mb,heap_total_mb,external_memory_mb,active_handles,active_requests
2025-03-30T16:51:37.101Z,26.77,8352.98,15775.61,52.95,4.49,5.51,1.51,2,0
2025-03-30T16:51:38.102Z,13.16,8364.86,15775.61,53.02,4.51,5.51,1.51,2,0
2025-03-30T16:51:39.102Z,31.49,8395.89,15775.61,53.22,4.52,5.51,1.51,2,0
2025-03-30T16:51:40.113Z,16.29,8405.53,15775.61,53.28,4.52,5.51,1.51,2,0
2025-03-30T16:51:41.118Z,19.64,8411.96,15775.61,53.32,4.53,5.51,1.51,2,0
2025-03-30T16:51:42.119Z,13.61,8422.25,15775.61,53.39,4.55,5.51,1.51,2,0
2025-03-30T16:51:43.128Z,14.16,8332.70,15775.61,52.82,4.56,5.51,1.51,2,0
2025-03-30T16:51:44.134Z,17.96,8325.96,15775.61,52.78,4.57,5.51,1.51,2,0
2025-03-30T16:51:45.134Z,22.88,8312.66,15775.61,52.69,4.59,5.51,1.51,2,0
2025-03-30T16:51:46.136Z,14.56,8319.54,15775.61,52.74,4.62,5.51,1.51,2,0
2025-03-30T16:51:47.142Z,9.23,8326.05,15775.61,52.78,4.63,5.51,1.51,2,0
2025-03-30T16:51:48.150Z,15.24,8333.43,15775.61,52.82,4.64,5.51,1.51,2,0
2025-03-30T16:51:49.150Z,10.4,8310.86,15775.61,52.68,4.65,5.51,1.51,2,0
2025-03-30T16:51:50.150Z,16.5,8254.39,15775.61,52.32,4.66,5.51,1.51,2,0
2025-03-30T16:51:51.161Z,14.07,8189.40,15775.61,51.91,4.67,5.51,1.51,2,0
2025-03-30T16:51:52.174Z,9.85,8211.14,15775.61,52.05,4.68,5.51,1.51,2,0
2025-03-30T16:51:53.182Z,21.56,8176.91,15775.61,51.83,4.68,5.51,1.51,2,0
2025-03-30T16:51:54.191Z,9.97,8189.30,15775.61,51.91,4.69,5.51,1.51,2,0
2025-03-30T16:51:55.190Z,13.27,8189.98,15775.61,51.92,4.70,5.51,1.51,2,0
2025-03-30T16:51:56.202Z,13.09,8199.04,15775.61,51.97,4.71,5.51,1.51,2,0
2025-03-30T16:51:57.205Z,10.11,8197.71,15775.61,51.96,4.72,5.51,1.51,2,0
2025-03-30T16:51:58.215Z,12.99,8213.14,15775.61,52.06,4.73,5.51,1.51,2,0
2025-03-30T16:51:59.224Z,13.32,8220.62,15775.61,52.11,4.73,5.51,1.51,2,0
2025-03-30T16:52:00.233Z,21.88,8202.24,15775.61,51.99,4.74,5.51,1.51,2,0
2025-03-30T16:52:01.243Z,18.37,8218.59,15775.61,52.10,4.75,5.51,1.51,2,0
2025-03-30T16:52:02.250Z,7.77,8217.68,15775.61,52.09,4.76,5.51,1.51,2,0
2025-03-30T16:52:03.252Z,13.68,8230.05,15775.61,52.17,4.77,5.51,1.51,2,0
2025-03-30T16:52:04.266Z,10.4,8230.09,15775.61,52.17,4.77,5.51,1.51,2,0
2025-03-30T16:52:05.269Z,10.62,8253.24,15775.61,52.32,4.78,5.51,1.51,2,0
2025-03-30T16:52:06.279Z,13.76,8237.29,15775.61,52.22,4.79,5.51,1.51,2,0
2025-03-30T16:52:07.286Z,12.7,8244.74,15775.61,52.26,4.80,5.51,1.51,2,0
2025-03-30T16:52:08.293Z,14.93,8230.00,15775.61,52.17,4.81,5.51,1.51,2,0
2025-03-30T16:52:09.301Z,13.94,8228.49,15775.61,52.16,4.81,5.51,1.51,2,0
2025-03-30T16:52:10.316Z,12.37,8249.91,15775.61,52.30,4.82,5.51,1.51,2,0
2025-03-30T16:52:11.325Z,9.88,8239.84,15775.61,52.23,4.83,5.51,1.51,2,0
2025-03-30T16:52:12.333Z,20.21,8250.09,15775.61,52.30,4.28,5.51,1.51,2,0
2025-03-30T16:52:13.334Z,11.98,8246.63,15775.61,52.27,4.29,5.51,1.51,2,0
2025-03-30T16:52:14.334Z,15.05,8253.34,15775.61,52.32,4.30,5.51,1.51,2,0
2025-03-30T16:52:15.340Z,16.71,8234.15,15775.61,52.20,4.31,5.51,1.51,2,0
2025-03-30T16:52:16.350Z,12.62,8241.65,15775.61,52.24,4.31,5.51,1.51,2,0
2025-03-30T16:52:17.352Z,10.89,8244.26,15775.61,52.26,4.32,5.51,1.51,2,0
2025-03-30T16:52:18.363Z,10,8259.55,15775.61,52.36,4.33,5.51,1.51,2,0
2025-03-30T16:52:19.371Z,11.9,8243.59,15775.61,52.26,4.34,5.51,1.51,2,0
2025-03-30T16:52:20.373Z,8.92,8257.36,15775.61,52.34,4.35,5.51,1.51,2,0
2025-03-30T16:52:21.383Z,18.82,8244.70,15775.61,52.26,4.35,5.51,1.51,2,0
2025-03-30T16:52:22.392Z,10.67,8249.18,15775.61,52.29,4.36,5.51,1.51,2,0
2025-03-30T16:52:23.400Z,16.02,8251.53,15775.61,52.31,4.37,5.51,1.51,2,0
2025-03-30T16:52:24.410Z,12.08,8262.94,15775.61,52.38,4.38,5.51,1.51,2,0
2025-03-30T16:52:25.418Z,10.62,8269.09,15775.61,52.42,4.39,5.51,1.51,2,0
2025-03-30T16:52:26.425Z,8.66,8276.84,15775.61,52.47,4.39,5.51,1.51,2,0
2025-03-30T16:52:27.437Z,6.82,8286.14,15775.61,52.53,4.40,5.51,1.51,2,0
2025-03-30T16:52:28.449Z,18.61,8325.20,15775.61,52.77,4.41,5.51,1.51,2,0
2025-03-30T16:52:29.451Z,15.01,8307.16,15775.61,52.66,4.42,5.51,1.51,2,0
2025-03-30T16:52:30.457Z,11.85,8309.71,15775.61,52.67,4.43,5.51,1.51,2,0
2025-03-30T16:52:31.458Z,15.02,8328.07,15775.61,52.79,4.43,5.51,1.51,2,0
2025-03-30T16:52:32.469Z,7.66,8339.16,15775.61,52.86,4.44,5.51,1.51,2,0
2025-03-30T16:52:33.476Z,14.87,8317.45,15775.61,52.72,4.45,5.51,1.51,2,0
2025-03-30T16:52:34.484Z,14.61,8318.90,15775.61,52.73,4.46,5.51,1.51,2,0
2025-03-30T16:52:35.490Z,9.49,8327.27,15775.61,52.79,4.47,5.51,1.51,2,0
2025-03-30T16:52:36.505Z,23.62,8327.75,15775.61,52.79,4.48,5.51,1.51,2,0
2025-03-30T16:52:37.511Z,12.08,8320.86,15775.61,52.75,4.48,5.51,1.51,2,0
2025-03-30T16:52:38.519Z,13.69,8327.28,15775.61,52.79,4.49,5.51,1.51,2,0
2025-03-30T16:52:39.519Z,14.1,8324.71,15775.61,52.77,4.50,5.51,1.51,2,0
2025-03-30T16:52:40.518Z,11.02,8331.15,15775.61,52.81,4.51,5.51,1.51,2,0
2025-03-30T16:52:41.527Z,9.14,8329.73,15775.61,52.80,4.52,5.51,1.51,2,0
2025-03-30T16:52:42.534Z,9.69,8330.71,15775.61,52.81,4.52,5.51,1.51,2,0
2025-03-30T16:52:43.550Z,11.15,8339.37,15775.61,52.86,4.53,5.51,1.51,2,0
2025-03-30T16:52:44.550Z,17.9,8333.03,15775.61,52.82,4.54,5.51,1.51,2,0
2025-03-30T16:52:45.558Z,7.8,8329.03,15775.61,52.80,4.55,5.51,1.51,2,0
2025-03-30T16:52:46.567Z,10.89,8325.46,15775.61,52.77,4.56,5.51,1.51,2,0
2025-03-30T16:52:47.567Z,13.34,8330.37,15775.61,52.81,4.56,5.51,1.51,2,0
2025-03-30T16:52:48.577Z,10.18,8330.36,15775.61,52.81,4.57,5.51,1.51,2,0
2025-03-30T16:52:49.583Z,13.86,8332.22,15775.61,52.82,4.58,5.51,1.51,2,0
2025-03-30T16:52:50.590Z,12.86,8340.59,15775.61,52.87,4.59,5.51,1.51,2,0
2025-03-30T16:52:51.600Z,16.7,8323.70,15775.61,52.76,4.60,5.51,1.51,2,0
2025-03-30T16:52:52.611Z,9.71,8331.29,15775.61,52.81,4.60,5.51,1.51,2,0
2025-03-30T16:52:53.618Z,16.46,8337.31,15775.61,52.85,4.61,5.51,1.51,2,0
2025-03-30T16:52:54.633Z,7.68,8337.33,15775.61,52.85,4.62,5.51,1.51,2,0
2025-03-30T16:52:55.634Z,12.36,8341.55,15775.61,52.88,4.63,5.51,1.51,2,0
2025-03-30T16:52:56.643Z,10.34,8341.96,15775.61,52.88,4.64,5.51,1.51,2,0
2025-03-30T16:52:57.653Z,7.92,8347.29,15775.61,52.91,4.64,5.51,1.51,2,0
2025-03-30T16:52:58.666Z,16.03,8340.85,15775.61,52.87,4.65,5.51,1.51,2,0
2025-03-30T16:52:59.667Z,17.68,8333.21,15775.61,52.82,4.66,5.51,1.51,2,0
2025-03-30T16:53:00.673Z,11.5,8337.76,15775.61,52.85,4.67,5.51,1.51,2,0
2025-03-30T16:53:01.683Z,10.13,8337.44,15775.61,52.85,4.68,5.51,1.51,2,0
2025-03-30T16:53:02.684Z,13.89,8345.58,15775.61,52.90,4.69,5.51,1.51,2,0
2025-03-30T16:53:03.684Z,13.47,8342.53,15775.61,52.88,4.69,5.51,1.51,2,0
2025-03-30T16:53:04.685Z,13.49,8347.31,15775.61,52.91,4.70,5.51,1.51,2,0
2025-03-30T16:53:05.692Z,9.33,8348.89,15775.61,52.92,4.71,5.51,1.51,2,0
2025-03-30T16:53:06.700Z,15.25,8344.05,15775.61,52.89,4.72,5.51,1.51,2,0
2025-03-30T16:53:07.707Z,10.11,8342.88,15775.61,52.88,4.73,5.51,1.51,2,0
2025-03-30T16:53:08.718Z,4.32,8345.86,15775.61,52.90,4.73,5.51,1.51,2,0
2025-03-30T16:53:09.723Z,11.28,8349.89,15775.61,52.93,4.74,5.51,1.51,2,0
2025-03-30T16:53:10.732Z,13.74,8366.13,15775.61,53.03,4.75,5.51,1.51,2,0
2025-03-30T16:53:11.735Z,11.03,8354.73,15775.61,52.96,4.76,5.51,1.51,2,0
2025-03-30T16:53:12.740Z,10.52,8349.78,15775.61,52.93,4.77,5.51,1.51,2,0
2025-03-30T16:53:13.750Z,11.01,8361.80,15775.61,53.00,4.77,5.51,1.51,2,0
2025-03-30T16:53:14.764Z,17.4,8355.69,15775.61,52.97,4.78,5.51,1.51,2,0
2025-03-30T16:53:15.771Z,10.71,8360.38,15775.61,53.00,4.79,5.51,1.51,2,0
2025-03-30T16:53:16.784Z,9.84,8346.46,15775.61,52.91,4.80,5.51,1.51,2,0
2025-03-30T16:53:17.785Z,11.64,8369.15,15775.61,53.05,4.81,5.51,1.51,2,0
2025-03-30T16:53:18.792Z,10.79,8380.47,15775.61,53.12,4.81,5.51,1.51,2,0
2025-03-30T16:53:19.794Z,12.84,8404.67,15775.61,53.28,4.82,5.51,1.51,2,0
2025-03-30T16:53:20.800Z,13.16,8419.80,15775.61,53.37,4.83,5.51,1.51,2,0
2025-03-30T16:53:21.813Z,17.43,8430.61,15775.61,53.44,4.30,6.01,1.51,2,0
