timestamp,cpu_load,memory_used_mb,memory_total_mb,memory_percent,heap_used_mb,heap_total_mb,external_memory_mb,active_handles,active_requests
2025-03-28T18:20:10.724Z,8.63,8737.12,15775.61,55.38,4.49,5.51,1.51,2,0
2025-03-28T18:20:11.736Z,6.65,8738.75,15775.61,55.39,4.51,5.51,1.51,2,0
2025-03-28T18:20:12.739Z,8.32,8739.24,15775.61,55.40,4.52,5.51,1.51,2,0
2025-03-28T18:20:13.741Z,7.12,8740.06,15775.61,55.40,4.52,5.51,1.51,2,0
2025-03-28T18:20:14.752Z,6.18,8744.52,15775.61,55.43,4.53,5.51,1.51,2,0
2025-03-28T18:20:15.763Z,14.41,8715.45,15775.61,55.25,4.55,5.51,1.51,2,0
2025-03-28T18:20:16.775Z,11.9,8642.82,15775.61,54.79,4.56,5.51,1.51,2,0
2025-03-28T18:20:17.789Z,7.57,8646.06,15775.61,54.81,4.57,5.51,1.51,2,0
2025-03-28T18:20:18.801Z,15.77,8639.25,15775.61,54.76,4.60,5.51,1.51,2,0
2025-03-28T18:20:19.814Z,8.95,8639.56,15775.61,54.77,4.62,5.51,1.51,2,0
2025-03-28T18:20:20.824Z,10.77,8645.70,15775.61,54.80,4.63,5.51,1.51,2,0
2025-03-28T18:20:21.825Z,6.37,8646.61,15775.61,54.81,4.64,5.51,1.51,2,0
2025-03-28T18:20:22.839Z,8.45,8624.19,15775.61,54.67,4.65,5.51,1.51,2,0
2025-03-28T18:20:23.841Z,12.13,8550.73,15775.61,54.20,4.66,5.51,1.51,2,0
2025-03-28T18:20:24.846Z,8.93,8555.06,15775.61,54.23,4.67,5.51,1.51,2,0
2025-03-28T18:20:25.854Z,15.04,8567.66,15775.61,54.31,4.68,5.51,1.51,2,0
2025-03-28T18:20:26.858Z,7.41,8573.61,15775.61,54.35,4.68,5.51,1.51,2,0
2025-03-28T18:20:27.873Z,6.9,8566.02,15775.61,54.30,4.69,5.51,1.51,2,0
2025-03-28T18:20:28.877Z,6.94,8570.33,15775.61,54.33,4.70,5.51,1.51,2,0
2025-03-28T18:20:29.889Z,7.81,8577.75,15775.61,54.37,4.71,5.51,1.51,2,0
2025-03-28T18:20:30.896Z,14.55,8568.07,15775.61,54.31,4.72,5.51,1.51,2,0
2025-03-28T18:20:31.905Z,7.07,8572.17,15775.61,54.34,4.73,5.51,1.51,2,0
2025-03-28T18:20:32.907Z,8.79,8573.25,15775.61,54.34,4.73,5.51,1.51,2,0
2025-03-28T18:20:33.909Z,11.55,8583.60,15775.61,54.41,4.74,5.51,1.51,2,0
2025-03-28T18:20:34.923Z,9.21,8584.58,15775.61,54.42,4.75,5.51,1.51,2,0
2025-03-28T18:20:35.929Z,11.32,8587.73,15775.61,54.44,4.76,5.51,1.51,2,0
2025-03-28T18:20:36.940Z,9.08,8588.28,15775.61,54.44,4.77,5.51,1.51,2,0
2025-03-28T18:20:37.946Z,12.45,8598.39,15775.61,54.50,4.78,5.51,1.51,2,0
2025-03-28T18:20:38.956Z,5.37,8598.23,15775.61,54.50,4.78,5.51,1.51,2,0
2025-03-28T18:20:39.956Z,9.39,8598.98,15775.61,54.51,4.79,5.51,1.51,2,0
2025-03-28T18:20:40.971Z,14.04,8619.52,15775.61,54.64,4.80,5.51,1.51,2,0
2025-03-28T18:20:41.972Z,10.64,8605.21,15775.61,54.55,4.81,5.51,1.51,2,0
2025-03-28T18:20:42.975Z,12.86,8593.55,15775.61,54.47,4.82,5.51,1.51,2,0
