timestamp,cpu_load,memory_used_mb,memory_total_mb,memory_percent,heap_used_mb,heap_total_mb,external_memory_mb,active_handles,active_requests
2025-03-30T13:30:16.432Z,7.21,8279.83,15775.61,52.48,4.49,5.51,1.51,2,0
2025-03-30T13:30:17.432Z,3.79,8304.44,15775.61,52.64,4.51,5.51,1.51,2,0
2025-03-30T13:30:18.436Z,8.17,8314.75,15775.61,52.71,4.52,5.51,1.51,2,0
2025-03-30T13:30:19.438Z,7.76,8312.16,15775.61,52.69,4.52,5.51,1.51,2,0
2025-03-30T13:30:20.444Z,7.67,8301.46,15775.61,52.62,4.53,5.51,1.51,2,0
2025-03-30T13:30:21.453Z,16.59,8259.57,15775.61,52.36,4.55,5.51,1.51,2,0
2025-03-30T13:30:22.456Z,11.34,8077.13,15775.61,51.20,4.56,5.51,1.51,2,0
2025-03-30T13:30:23.457Z,13.11,8053.30,15775.61,51.05,4.57,5.51,1.51,2,0
2025-03-30T13:30:24.462Z,8.59,8061.86,15775.61,51.10,4.60,5.51,1.51,2,0
2025-03-30T13:30:25.464Z,11.58,8070.53,15775.61,51.16,4.62,5.51,1.51,2,0
2025-03-30T13:30:26.475Z,7.78,8064.84,15775.61,51.12,4.63,5.51,1.51,2,0
2025-03-30T13:30:27.486Z,7.29,8073.06,15775.61,51.17,4.64,5.51,1.51,2,0
2025-03-30T13:30:28.489Z,9.66,8055.79,15775.61,51.06,4.65,5.51,1.51,2,0
2025-03-30T13:30:29.490Z,6.84,8040.67,15775.61,50.97,4.66,5.51,1.51,2,0
2025-03-30T13:30:30.493Z,9.55,8063.51,15775.61,51.11,4.67,5.51,1.51,2,0
2025-03-30T13:30:31.506Z,10.8,8042.16,15775.61,50.98,4.68,5.51,1.51,2,0
2025-03-30T13:30:32.507Z,7.42,8046.45,15775.61,51.01,4.68,5.51,1.51,2,0
2025-03-30T13:30:33.507Z,7.16,8049.41,15775.61,51.02,4.69,5.51,1.51,2,0
2025-03-30T13:30:34.507Z,11.13,8060.24,15775.61,51.09,4.70,5.51,1.51,2,0
2025-03-30T13:30:35.519Z,7.21,8063.79,15775.61,51.12,4.71,5.51,1.51,2,0
2025-03-30T13:30:36.523Z,7.49,8075.21,15775.61,51.19,4.72,5.51,1.51,2,0
2025-03-30T13:30:37.538Z,10.35,8051.28,15775.61,51.04,4.73,5.51,1.51,2,0
2025-03-30T13:30:38.551Z,7.42,8057.26,15775.61,51.07,4.73,5.51,1.51,2,0
2025-03-30T13:30:39.561Z,7.81,8054.95,15775.61,51.06,4.74,5.51,1.51,2,0
2025-03-30T13:30:40.574Z,8.33,8072.69,15775.61,51.17,4.75,5.51,1.51,2,0
2025-03-30T13:30:41.585Z,13.21,8074.69,15775.61,51.18,4.76,5.51,1.51,2,0
2025-03-30T13:30:42.600Z,11.14,8056.02,15775.61,51.07,4.77,5.51,1.51,2,0
2025-03-30T13:30:43.613Z,8.08,8087.95,15775.61,51.27,4.78,5.51,1.51,2,0
2025-03-30T13:30:44.624Z,9.11,8065.76,15775.61,51.13,4.78,5.51,1.51,2,0
2025-03-30T13:30:45.624Z,6.89,8068.25,15775.61,51.14,4.79,5.51,1.51,2,0
2025-03-30T13:30:46.629Z,7.31,8073.54,15775.61,51.18,4.80,5.51,1.51,2,0
2025-03-30T13:30:47.643Z,6.25,8074.16,15775.61,51.18,4.81,5.51,1.51,2,0
2025-03-30T13:30:48.658Z,12.05,8064.69,15775.61,51.12,4.82,5.51,1.51,2,0
2025-03-30T13:30:49.670Z,9.1,8069.50,15775.61,51.15,4.82,5.51,1.51,2,0
2025-03-30T13:30:50.683Z,6.75,8068.79,15775.61,51.15,4.83,5.51,1.51,2,0
2025-03-30T13:30:51.685Z,7.53,8076.16,15775.61,51.19,4.28,5.51,1.51,2,0
2025-03-30T13:30:52.689Z,9.07,8086.17,15775.61,51.26,4.29,5.51,1.51,2,0
2025-03-30T13:30:53.693Z,12.16,8069.34,15775.61,51.15,4.30,5.51,1.51,2,0
2025-03-30T13:30:54.708Z,15.22,8081.16,15775.61,51.23,4.31,5.51,1.51,2,0
