timestamp,cpu_load,memory_used_mb,memory_total_mb,memory_percent,heap_used_mb,heap_total_mb,external_memory_mb,active_handles,active_requests
2025-03-29T17:08:07.421Z,18.92,10441.66,15775.61,66.19,4.49,5.51,1.51,2,0
2025-03-29T17:08:08.433Z,16.07,10436.09,15775.61,66.15,4.51,5.51,1.51,2,0
2025-03-29T17:08:09.446Z,20.81,10338.38,15775.61,65.53,4.52,5.51,1.51,2,0
2025-03-29T17:08:10.446Z,22.69,10354.59,15775.61,65.64,4.52,5.51,1.51,2,0
2025-03-29T17:08:11.457Z,23.37,10361.75,15775.61,65.68,4.53,5.51,1.51,2,0
2025-03-29T17:08:12.467Z,20.38,10377.47,15775.61,65.78,4.55,5.51,1.51,2,0
2025-03-29T17:08:13.481Z,25.21,10369.59,15775.61,65.73,4.56,5.51,1.51,2,0
2025-03-29T17:08:14.494Z,27.53,10358.25,15775.61,65.66,4.57,5.51,1.51,2,0
2025-03-29T17:08:15.496Z,17.83,10375.98,15775.61,65.77,4.59,5.51,1.51,2,0
2025-03-29T17:08:16.497Z,22.69,10387.37,15775.61,65.84,4.62,5.51,1.51,2,0
2025-03-29T17:08:17.497Z,21.63,10385.37,15775.61,65.83,4.63,5.51,1.51,2,0
2025-03-29T17:08:18.513Z,23.83,10397.74,15775.61,65.91,4.64,5.51,1.51,2,0
2025-03-29T17:08:19.513Z,21.6,10409.33,15775.61,65.98,4.65,5.51,1.51,2,0
2025-03-29T17:08:20.514Z,33.84,10154.43,15775.61,64.37,4.66,5.51,1.51,2,0
2025-03-29T17:08:21.514Z,27.81,10143.76,15775.61,64.30,4.67,5.51,1.51,2,0
2025-03-29T17:08:22.513Z,23.97,10150.33,15775.61,64.34,4.68,5.51,1.51,2,0
2025-03-29T17:08:23.528Z,24.71,10158.79,15775.61,64.40,4.68,5.51,1.51,2,0
2025-03-29T17:08:24.529Z,20.09,10158.84,15775.61,64.40,4.69,5.51,1.51,2,0
2025-03-29T17:08:25.529Z,21.24,10169.80,15775.61,64.47,4.70,5.51,1.51,2,0
2025-03-29T17:08:26.547Z,18.05,10183.57,15775.61,64.55,4.71,5.51,1.51,2,0
2025-03-29T17:08:27.562Z,19.17,10201.39,15775.61,64.67,4.72,5.51,1.51,2,0
2025-03-29T17:08:28.563Z,27,10190.25,15775.61,64.59,4.73,5.51,1.51,2,0
2025-03-29T17:08:29.566Z,22.03,10200.56,15775.61,64.66,4.73,5.51,1.51,2,0
2025-03-29T17:08:30.574Z,16.89,10211.55,15775.61,64.73,4.74,5.51,1.51,2,0
2025-03-29T17:08:31.581Z,20.08,10221.40,15775.61,64.79,4.75,5.51,1.51,2,0
2025-03-29T17:08:32.589Z,19.6,10232.47,15775.61,64.86,4.76,5.51,1.51,2,0
2025-03-29T17:08:33.604Z,22.2,10259.53,15775.61,65.03,4.77,5.51,1.51,2,0
2025-03-29T17:08:34.606Z,20.24,10259.09,15775.61,65.03,4.77,5.51,1.51,2,0
2025-03-29T17:08:35.613Z,24.45,10244.93,15775.61,64.94,4.78,5.51,1.51,2,0
2025-03-29T17:08:36.614Z,25.02,10258.50,15775.61,65.03,4.79,5.51,1.51,2,0
2025-03-29T17:08:37.628Z,17.8,10268.85,15775.61,65.09,4.80,5.51,1.51,2,0
2025-03-29T17:08:38.642Z,21.98,10284.30,15775.61,65.19,4.81,5.51,1.51,2,0
2025-03-29T17:08:39.647Z,24.6,10288.74,15775.61,65.22,4.81,5.51,1.51,2,0
2025-03-29T17:08:40.647Z,18.67,10298.36,15775.61,65.28,4.82,5.51,1.51,2,0
2025-03-29T17:08:41.662Z,23.69,10285.86,15775.61,65.20,4.83,5.51,1.51,2,0
2025-03-29T17:08:42.663Z,21.2,10293.61,15775.61,65.25,4.27,5.51,1.51,2,0
2025-03-29T17:08:43.664Z,19.33,10307.35,15775.61,65.34,4.28,5.51,1.51,2,0
2025-03-29T17:08:44.679Z,21.34,10314.60,15775.61,65.38,4.29,5.51,1.51,2,0
2025-03-29T17:08:45.690Z,21.11,10235.32,15775.61,64.88,4.29,5.51,1.51,2,0
2025-03-29T17:08:46.696Z,20.09,10266.90,15775.61,65.08,4.30,5.51,1.51,2,0
2025-03-29T17:08:47.697Z,29.75,10254.16,15775.61,65.00,4.31,5.51,1.51,2,0
2025-03-29T17:08:48.698Z,15.11,9740.29,15775.61,61.74,4.32,5.51,1.51,2,0
2025-03-29T17:08:49.707Z,12.87,9742.88,15775.61,61.76,4.33,5.51,1.51,2,0
2025-03-29T17:08:50.719Z,9.6,9743.95,15775.61,61.77,4.34,5.51,1.51,2,0
2025-03-29T17:08:51.730Z,18.08,9758.91,15775.61,61.86,4.34,5.51,1.51,2,0
2025-03-29T17:08:52.730Z,16.96,9759.46,15775.61,61.86,4.35,5.51,1.51,2,0
2025-03-29T17:08:53.745Z,20.31,9746.26,15775.61,61.78,4.36,5.51,1.51,2,0
2025-03-29T17:08:54.745Z,16.73,9748.02,15775.61,61.79,4.37,5.51,1.51,2,0
2025-03-29T17:08:55.762Z,18.3,9775.28,15775.61,61.96,4.38,5.51,1.51,2,0
2025-03-29T17:08:56.763Z,14.44,9758.24,15775.61,61.86,4.38,5.51,1.51,2,0
2025-03-29T17:08:57.767Z,16.6,9769.04,15775.61,61.92,4.39,5.51,1.51,2,0
2025-03-29T17:08:58.773Z,12.08,9767.55,15775.61,61.92,4.40,5.51,1.51,2,0
2025-03-29T17:08:59.787Z,19.29,9786.77,15775.61,62.04,4.41,5.51,1.51,2,0
2025-03-29T17:09:00.795Z,20.62,9763.23,15775.61,61.89,4.42,5.51,1.51,2,0
2025-03-29T17:09:01.797Z,18.09,9761.80,15775.61,61.88,4.42,5.51,1.51,2,0
2025-03-29T17:09:02.812Z,24.85,9745.51,15775.61,61.78,4.43,5.51,1.51,2,0
2025-03-29T17:09:03.813Z,14.68,9759.68,15775.61,61.87,4.44,5.51,1.51,2,0
2025-03-29T17:09:04.814Z,18.21,9784.80,15775.61,62.02,4.45,5.51,1.51,2,0
2025-03-29T17:09:05.828Z,28.06,9775.07,15775.61,61.96,4.46,5.51,1.51,2,0
2025-03-29T17:09:06.829Z,14.93,9779.25,15775.61,61.99,4.46,5.51,1.51,2,0
2025-03-29T17:09:07.830Z,15.34,9779.41,15775.61,61.99,4.47,5.51,1.51,2,0
2025-03-29T17:09:08.831Z,19.46,9791.20,15775.61,62.07,4.48,5.51,1.51,2,0
2025-03-29T17:09:09.846Z,16,9794.88,15775.61,62.09,4.49,5.51,1.51,2,0
2025-03-29T17:09:10.847Z,22.22,9779.09,15775.61,61.99,4.50,5.51,1.51,2,0
2025-03-29T17:09:11.847Z,13.9,9790.93,15775.61,62.06,4.50,5.51,1.51,2,0
2025-03-29T17:09:12.846Z,17.22,9806.75,15775.61,62.16,4.51,5.51,1.51,2,0
2025-03-29T17:09:13.848Z,11.84,9801.96,15775.61,62.13,4.52,5.51,1.51,2,0
2025-03-29T17:09:14.862Z,16.75,9801.93,15775.61,62.13,4.53,5.51,1.51,2,0
2025-03-29T17:09:15.863Z,24.59,9790.66,15775.61,62.06,4.54,5.51,1.51,2,0
2025-03-29T17:09:16.863Z,11.39,9798.69,15775.61,62.11,4.55,5.51,1.51,2,0
2025-03-29T17:09:17.878Z,12.81,9804.07,15775.61,62.15,4.55,5.51,1.51,2,0
2025-03-29T17:09:18.890Z,13.67,9801.31,15775.61,62.13,4.56,5.51,1.51,2,0
2025-03-29T17:09:19.896Z,15.88,9805.45,15775.61,62.16,4.57,5.51,1.51,2,0
2025-03-29T17:09:20.912Z,16.83,9835.12,15775.61,62.34,4.58,5.51,1.51,2,0
2025-03-29T17:09:21.918Z,23.01,9810.85,15775.61,62.19,4.59,5.51,1.51,2,0
2025-03-29T17:09:22.926Z,18.98,9811.50,15775.61,62.19,4.59,5.51,1.51,2,0
2025-03-29T17:09:23.929Z,16.14,9811.30,15775.61,62.19,4.60,5.51,1.51,2,0
2025-03-29T17:09:24.929Z,18.14,9823.72,15775.61,62.27,4.61,5.51,1.51,2,0
2025-03-29T17:09:25.937Z,12.78,9843.12,15775.61,62.39,4.62,5.51,1.51,2,0
2025-03-29T17:09:26.950Z,20.58,9838.97,15775.61,62.37,4.63,5.51,1.51,2,0
2025-03-29T17:09:27.963Z,20.16,9806.32,15775.61,62.16,4.63,5.51,1.51,2,0
2025-03-29T17:09:28.964Z,19.23,9813.60,15775.61,62.21,4.64,5.51,1.51,2,0
2025-03-29T17:09:29.974Z,14.21,9820.40,15775.61,62.25,4.65,5.51,1.51,2,0
2025-03-29T17:09:30.980Z,17.65,9826.34,15775.61,62.29,4.66,5.51,1.51,2,0
2025-03-29T17:09:31.995Z,14.65,9833.95,15775.61,62.34,4.67,5.51,1.51,2,0
2025-03-29T17:09:33.011Z,22.47,9830.86,15775.61,62.32,4.67,5.51,1.51,2,0
2025-03-29T17:09:34.013Z,14.43,9833.29,15775.61,62.33,4.68,5.51,1.51,2,0
2025-03-29T17:09:35.014Z,20,9844.13,15775.61,62.40,4.69,5.51,1.51,2,0
2025-03-29T17:09:36.028Z,16.35,9845.01,15775.61,62.41,4.70,5.51,1.51,2,0
2025-03-29T17:09:37.032Z,19.59,9847.97,15775.61,62.43,4.71,5.51,1.51,2,0
2025-03-29T17:09:38.045Z,19.32,9853.61,15775.61,62.46,4.72,5.51,1.51,2,0
2025-03-29T17:09:39.049Z,20.1,9867.87,15775.61,62.55,4.72,5.51,1.51,2,0
2025-03-29T17:09:40.062Z,18.38,9857.86,15775.61,62.49,4.73,5.51,1.51,2,0
2025-03-29T17:09:41.063Z,19.81,9864.07,15775.61,62.53,4.74,5.51,1.51,2,0
2025-03-29T17:09:42.063Z,18.57,9870.66,15775.61,62.57,4.75,5.51,1.51,2,0
2025-03-29T17:09:43.065Z,23.89,9862.61,15775.61,62.52,4.76,5.51,1.51,2,0
2025-03-29T17:09:44.075Z,22.59,9871.55,15775.61,62.57,4.76,5.51,1.51,2,0
2025-03-29T17:09:45.084Z,19.64,9872.55,15775.61,62.58,4.77,5.51,1.51,2,0
2025-03-29T17:09:46.095Z,18.52,9877.66,15775.61,62.61,4.78,5.51,1.51,2,0
2025-03-29T17:09:47.096Z,16.42,9884.04,15775.61,62.65,4.79,5.51,1.51,2,0
2025-03-29T17:09:48.096Z,28.44,9858.50,15775.61,62.49,4.80,5.51,1.51,2,0
2025-03-29T17:09:49.095Z,18.83,9872.96,15775.61,62.58,4.80,5.51,1.51,2,0
2025-03-29T17:09:50.109Z,16.12,9875.96,15775.61,62.60,4.81,5.51,1.51,2,0
2025-03-29T17:09:51.114Z,18,9882.55,15775.61,62.64,4.82,5.51,1.51,2,0
2025-03-29T17:09:52.123Z,14.84,9894.54,15775.61,62.72,4.83,5.51,1.51,2,0
2025-03-29T17:09:53.128Z,22.99,9866.27,15775.61,62.54,4.27,6.01,1.51,2,0
2025-03-29T17:09:54.128Z,15.72,9881.13,15775.61,62.64,4.27,6.01,1.51,2,0
2025-03-29T17:09:55.129Z,15.98,9884.88,15775.61,62.66,4.28,6.01,1.51,2,0
2025-03-29T17:09:56.129Z,16.72,9914.25,15775.61,62.85,4.29,6.01,1.51,2,0
2025-03-29T17:09:57.130Z,17.88,9899.02,15775.61,62.75,4.30,6.01,1.51,2,0
2025-03-29T17:09:58.135Z,20.55,9886.70,15775.61,62.67,4.31,6.01,1.51,2,0
2025-03-29T17:09:59.142Z,14.06,9896.37,15775.61,62.73,4.31,6.01,1.51,2,0
2025-03-29T17:10:00.146Z,15.48,9898.59,15775.61,62.75,4.32,6.01,1.51,2,0
2025-03-29T17:10:01.147Z,18.81,9912.85,15775.61,62.84,4.06,5.76,1.51,2,0
