timestamp,cpu_load,memory_used_mb,memory_total_mb,memory_percent,heap_used_mb,heap_total_mb,external_memory_mb,active_handles,active_requests
2025-03-30T15:03:58.020Z,18.16,8011.58,15775.61,50.78,4.49,5.51,1.51,2,0
2025-03-30T15:03:59.020Z,18.24,8018.00,15775.61,50.83,4.51,5.51,1.51,2,0
2025-03-30T15:04:00.032Z,17.48,8027.95,15775.61,50.89,4.52,5.51,1.51,2,0
2025-03-30T15:04:01.045Z,16.05,8043.89,15775.61,50.99,4.52,5.51,1.51,2,0
2025-03-30T15:04:02.048Z,16.53,8063.82,15775.61,51.12,4.53,5.51,1.51,2,0
2025-03-30T15:04:03.050Z,20.63,8049.33,15775.61,51.02,4.55,5.51,1.51,2,0
2025-03-30T15:04:04.065Z,13.01,7973.28,15775.61,50.54,4.56,5.51,1.51,2,0
2025-03-30T15:04:05.072Z,16,7974.10,15775.61,50.55,4.57,5.51,1.51,2,0
2025-03-30T15:04:06.081Z,26.79,7989.11,15775.61,50.64,4.59,5.51,1.51,2,0
2025-03-30T15:04:07.083Z,15.92,7995.03,15775.61,50.68,4.62,5.51,1.51,2,0
2025-03-30T15:04:08.097Z,16.7,8004.66,15775.61,50.74,4.63,5.51,1.51,2,0
2025-03-30T15:04:09.098Z,15.28,8004.65,15775.61,50.74,4.64,5.51,1.51,2,0
2025-03-30T15:04:10.099Z,18.87,7993.18,15775.61,50.67,4.65,5.51,1.51,2,0
2025-03-30T15:04:11.105Z,17.61,7856.41,15775.61,49.80,4.66,5.51,1.51,2,0
2025-03-30T15:04:12.116Z,10.61,7866.23,15775.61,49.86,4.67,5.51,1.51,2,0
2025-03-30T15:04:13.124Z,16.01,7882.99,15775.61,49.97,4.68,5.51,1.51,2,0
2025-03-30T15:04:14.132Z,14.79,7872.56,15775.61,49.90,4.68,5.51,1.51,2,0
2025-03-30T15:04:15.134Z,15.61,7870.61,15775.61,49.89,4.69,5.51,1.51,2,0
2025-03-30T15:04:16.148Z,21.87,7884.45,15775.61,49.98,4.70,5.51,1.51,2,0
2025-03-30T15:04:17.149Z,17.89,7895.61,15775.61,50.05,4.71,5.51,1.51,2,0
2025-03-30T15:04:18.149Z,20.38,7889.07,15775.61,50.01,4.72,5.51,1.51,2,0
2025-03-30T15:04:19.150Z,13.53,7891.94,15775.61,50.03,4.73,5.51,1.51,2,0
2025-03-30T15:04:20.150Z,12.8,7894.71,15775.61,50.04,4.73,5.51,1.51,2,0
2025-03-30T15:04:21.165Z,15.21,7901.35,15775.61,50.09,4.74,5.51,1.51,2,0
2025-03-30T15:04:22.164Z,18.59,7897.97,15775.61,50.06,4.75,5.51,1.51,2,0
2025-03-30T15:04:23.165Z,12.23,7898.16,15775.61,50.07,4.76,5.51,1.51,2,0
2025-03-30T15:04:24.173Z,16.35,7910.25,15775.61,50.14,4.77,5.51,1.51,2,0
2025-03-30T15:04:25.181Z,16.9,7900.79,15775.61,50.08,4.77,5.51,1.51,2,0
2025-03-30T15:04:26.181Z,16.39,7908.68,15775.61,50.13,4.78,5.51,1.51,2,0
2025-03-30T15:04:27.195Z,22.01,7909.64,15775.61,50.14,4.79,5.51,1.51,2,0
2025-03-30T15:04:28.199Z,11.17,7909.79,15775.61,50.14,4.80,5.51,1.51,2,0
2025-03-30T15:04:29.199Z,16.96,7910.35,15775.61,50.14,4.81,5.51,1.51,2,0
2025-03-30T15:04:30.198Z,13.63,7939.07,15775.61,50.32,4.81,5.51,1.51,2,0
2025-03-30T15:04:31.199Z,21.05,7915.89,15775.61,50.18,4.82,5.51,1.51,2,0
2025-03-30T15:04:32.214Z,15.34,7917.57,15775.61,50.19,4.83,5.51,1.51,2,0
2025-03-30T15:04:33.228Z,16.22,7928.64,15775.61,50.26,4.28,5.51,1.51,2,0
2025-03-30T15:04:34.233Z,19.46,7919.74,15775.61,50.20,4.29,5.51,1.51,2,0
2025-03-30T15:04:35.248Z,18.26,7926.62,15775.61,50.25,4.29,5.51,1.51,2,0
