timestamp,cpu_load,memory_used_mb,memory_total_mb,memory_percent,heap_used_mb,heap_total_mb,external_memory_mb,active_handles,active_requests
2025-03-30T17:46:47.431Z,21.7,8421.34,15775.61,53.38,4.49,5.51,1.51,2,0
2025-03-30T17:46:48.432Z,11.32,8401.77,15775.61,53.26,4.51,5.51,1.51,2,0
2025-03-30T17:46:49.447Z,24.45,8413.02,15775.61,53.33,4.52,5.51,1.51,2,0
2025-03-30T17:46:50.455Z,15.62,8436.25,15775.61,53.48,4.52,5.51,1.51,2,0
2025-03-30T17:46:51.459Z,17.94,8455.45,15775.61,53.60,4.53,5.51,1.51,2,0
2025-03-30T17:46:52.464Z,19.15,8509.44,15775.61,53.94,4.55,5.51,1.51,2,0
2025-03-30T17:46:53.474Z,19.52,8432.99,15775.61,53.46,4.56,5.51,1.51,2,0
2025-03-30T17:46:54.479Z,17.79,8444.12,15775.61,53.53,4.57,5.51,1.51,2,0
2025-03-30T17:46:55.490Z,14.15,8439.86,15775.61,53.50,4.59,5.51,1.51,2,0
2025-03-30T17:46:56.497Z,11.8,8462.93,15775.61,53.65,4.62,5.51,1.51,2,0
2025-03-30T17:46:57.505Z,12.28,8451.75,15775.61,53.57,4.63,5.51,1.51,2,0
2025-03-30T17:46:58.513Z,22.5,8410.85,15775.61,53.32,4.64,5.51,1.51,2,0
2025-03-30T17:46:59.515Z,15.4,8411.61,15775.61,53.32,4.65,5.51,1.51,2,0
2025-03-30T17:47:00.526Z,18.19,8284.29,15775.61,52.51,4.66,5.51,1.51,2,0
2025-03-30T17:47:01.535Z,15.41,8236.47,15775.61,52.21,4.67,5.51,1.51,2,0
2025-03-30T17:47:02.545Z,8.99,8247.73,15775.61,52.28,4.68,5.51,1.51,2,0
2025-03-30T17:47:03.555Z,14,8250.18,15775.61,52.30,4.68,5.51,1.51,2,0
2025-03-30T17:47:04.564Z,11.79,8255.68,15775.61,52.33,4.69,5.51,1.51,2,0
2025-03-30T17:47:05.564Z,15.06,8266.28,15775.61,52.40,4.70,5.51,1.51,2,0
2025-03-30T17:47:06.576Z,15.19,8266.46,15775.61,52.40,4.71,5.51,1.51,2,0
2025-03-30T17:47:07.584Z,13.17,8271.69,15775.61,52.43,4.72,5.51,1.51,2,0
2025-03-30T17:47:08.595Z,17.8,8257.15,15775.61,52.34,4.73,5.51,1.51,2,0
2025-03-30T17:47:09.596Z,17.57,8266.30,15775.61,52.40,4.73,5.51,1.51,2,0
2025-03-30T17:47:10.609Z,16.08,8265.06,15775.61,52.39,4.74,5.51,1.51,2,0
2025-03-30T17:47:11.613Z,16.22,8265.84,15775.61,52.40,4.75,5.51,1.51,2,0
2025-03-30T17:47:12.625Z,14.67,8272.03,15775.61,52.44,4.76,5.51,1.51,2,0
2025-03-30T17:47:13.636Z,20.53,8275.34,15775.61,52.46,4.77,5.51,1.51,2,0
2025-03-30T17:47:14.637Z,13.95,8287.84,15775.61,52.54,4.77,5.51,1.51,2,0
2025-03-30T17:47:15.645Z,11.92,8292.64,15775.61,52.57,4.78,5.51,1.51,2,0
2025-03-30T17:47:16.653Z,17.72,8297.98,15775.61,52.60,4.79,5.51,1.51,2,0
2025-03-30T17:47:17.664Z,18.26,8282.26,15775.61,52.50,4.80,5.51,1.51,2,0
2025-03-30T17:47:18.679Z,13.5,8286.20,15775.61,52.53,4.81,5.51,1.51,2,0
2025-03-30T17:47:19.681Z,13.08,8291.25,15775.61,52.56,4.81,5.51,1.51,2,0
2025-03-30T17:47:20.684Z,15.41,8299.98,15775.61,52.61,4.82,5.51,1.51,2,0
2025-03-30T17:47:21.690Z,13.74,8308.20,15775.61,52.66,4.83,5.51,1.51,2,0
2025-03-30T17:47:22.693Z,17.41,8317.73,15775.61,52.73,4.28,5.51,1.51,2,0
2025-03-30T17:47:23.696Z,11.14,8311.18,15775.61,52.68,4.29,5.51,1.51,2,0
2025-03-30T17:47:24.696Z,14.34,8320.29,15775.61,52.74,4.29,5.51,1.51,2,0
2025-03-30T17:47:25.707Z,13.22,8321.21,15775.61,52.75,4.30,5.51,1.51,2,0
2025-03-30T17:47:26.716Z,15.9,8302.79,15775.61,52.63,4.31,5.51,1.51,2,0
2025-03-30T17:47:27.721Z,12.63,8307.66,15775.61,52.66,4.32,5.51,1.51,2,0
2025-03-30T17:47:28.725Z,9.65,8308.68,15775.61,52.67,4.33,5.51,1.51,2,0
2025-03-30T17:47:29.735Z,11.67,8319.91,15775.61,52.74,4.33,5.51,1.51,2,0
2025-03-30T17:47:30.744Z,19.95,8326.38,15775.61,52.78,4.34,5.51,1.51,2,0
2025-03-30T17:47:31.745Z,14,8340.98,15775.61,52.87,4.35,5.51,1.51,2,0
2025-03-30T17:47:32.746Z,10.79,8352.11,15775.61,52.94,4.36,5.51,1.51,2,0
2025-03-30T17:47:33.756Z,12.85,8350.15,15775.61,52.93,4.37,5.51,1.51,2,0
2025-03-30T17:47:34.770Z,10.73,8360.54,15775.61,53.00,4.37,5.51,1.51,2,0
2025-03-30T17:47:35.776Z,16.91,8335.89,15775.61,52.84,4.38,5.51,1.51,2,0
2025-03-30T17:47:36.778Z,11.3,8344.95,15775.61,52.90,4.39,5.51,1.51,2,0
2025-03-30T17:47:37.780Z,12.29,8344.93,15775.61,52.90,4.40,5.51,1.51,2,0
