timestamp,cpu_load,memory_used_mb,memory_total_mb,memory_percent,heap_used_mb,heap_total_mb,external_memory_mb,active_handles,active_requests
2025-03-30T14:59:18.422Z,21.8,7897.62,15775.61,50.06,4.49,5.51,1.51,2,0
2025-03-30T14:59:19.434Z,19.21,7901.40,15775.61,50.09,4.51,5.51,1.51,2,0
2025-03-30T14:59:20.447Z,19.84,7953.02,15775.61,50.41,4.52,5.51,1.51,2,0
2025-03-30T14:59:21.463Z,16.91,7966.71,15775.61,50.50,4.52,5.51,1.51,2,0
2025-03-30T14:59:22.469Z,23.55,7988.98,15775.61,50.64,4.53,5.51,1.51,2,0
2025-03-30T14:59:23.478Z,32.35,7993.82,15775.61,50.67,4.55,5.51,1.51,2,0
2025-03-30T14:59:24.481Z,24.8,7877.65,15775.61,49.94,4.56,5.51,1.51,2,0
2025-03-30T14:59:25.481Z,22.3,7879.41,15775.61,49.95,4.57,5.51,1.51,2,0
2025-03-30T14:59:26.484Z,22.04,7888.73,15775.61,50.01,4.59,5.51,1.51,2,0
2025-03-30T14:59:27.491Z,19.28,7883.32,15775.61,49.97,4.62,5.51,1.51,2,0
2025-03-30T14:59:28.499Z,15.21,7898.36,15775.61,50.07,4.63,5.51,1.51,2,0
2025-03-30T14:59:29.504Z,14.47,7869.50,15775.61,49.88,4.64,5.51,1.51,2,0
2025-03-30T14:59:30.513Z,18.53,7856.84,15775.61,49.80,4.65,5.51,1.51,2,0
2025-03-30T14:59:31.521Z,21.45,7708.32,15775.61,48.86,4.66,5.51,1.51,2,0
2025-03-30T14:59:32.534Z,12.93,7700.33,15775.61,48.81,4.67,5.51,1.51,2,0
2025-03-30T14:59:33.544Z,19.26,7705.75,15775.61,48.85,4.68,5.51,1.51,2,0
2025-03-30T14:59:34.554Z,19.25,7692.53,15775.61,48.76,4.68,5.51,1.51,2,0
2025-03-30T14:59:35.567Z,15.55,7708.10,15775.61,48.86,4.69,5.51,1.51,2,0
2025-03-30T14:59:36.579Z,10.12,7713.14,15775.61,48.89,4.70,5.51,1.51,2,0
2025-03-30T14:59:37.595Z,11.52,7724.32,15775.61,48.96,4.71,5.51,1.51,2,0
2025-03-30T14:59:38.606Z,17.28,7704.01,15775.61,48.83,4.72,5.51,1.51,2,0
2025-03-30T14:59:39.614Z,11.92,7727.23,15775.61,48.98,4.73,5.51,1.51,2,0
2025-03-30T14:59:40.615Z,13.54,7731.91,15775.61,49.01,4.73,5.51,1.51,2,0
