timestamp,cpu_load,memory_used_mb,memory_total_mb,memory_percent,heap_used_mb,heap_total_mb,external_memory_mb,active_handles,active_requests
2025-03-30T14:56:20.085Z,5.73,7979.26,15775.61,50.58,4.49,5.51,1.51,2,0
2025-03-30T14:56:21.099Z,5.77,7969.61,15775.61,50.52,4.51,5.51,1.51,2,0
2025-03-30T14:56:22.109Z,4.84,7982.04,15775.61,50.60,4.52,5.51,1.51,2,0
2025-03-30T14:56:23.119Z,8.82,8009.44,15775.61,50.77,4.52,5.51,1.51,2,0
2025-03-30T14:56:24.138Z,6.14,7987.17,15775.61,50.63,4.53,5.51,1.51,2,0
2025-03-30T14:56:25.140Z,11.18,7944.84,15775.61,50.36,4.55,5.51,1.51,2,0
2025-03-30T14:56:26.144Z,12.62,7820.29,15775.61,49.57,4.56,5.51,1.51,2,0
2025-03-30T14:56:27.152Z,7.42,7822.80,15775.61,49.59,4.57,5.51,1.51,2,0
2025-03-30T14:56:28.163Z,7.24,7837.70,15775.61,49.68,4.60,5.51,1.51,2,0
2025-03-30T14:56:29.175Z,7.07,7837.62,15775.61,49.68,4.62,5.51,1.51,2,0
2025-03-30T14:56:30.178Z,5.59,7847.46,15775.61,49.74,4.63,5.51,1.51,2,0
2025-03-30T14:56:31.184Z,11.27,7855.57,15775.61,49.80,4.64,5.51,1.51,2,0
2025-03-30T14:56:32.184Z,8.58,7857.29,15775.61,49.81,4.65,5.51,1.51,2,0
2025-03-30T14:56:33.189Z,13.34,7745.63,15775.61,49.10,4.66,5.51,1.51,2,0
2025-03-30T14:56:34.203Z,7.59,7760.21,15775.61,49.19,4.67,5.51,1.51,2,0
2025-03-30T14:56:35.211Z,8.33,7760.85,15775.61,49.20,4.68,5.51,1.51,2,0
2025-03-30T14:56:36.214Z,9.01,7759.89,15775.61,49.19,4.68,5.51,1.51,2,0
2025-03-30T14:56:37.217Z,8.32,7752.52,15775.61,49.14,4.69,5.51,1.51,2,0
2025-03-30T14:56:38.218Z,11.04,7738.07,15775.61,49.05,4.70,5.51,1.51,2,0
2025-03-30T14:56:39.226Z,8.47,7731.88,15775.61,49.01,4.71,5.51,1.51,2,0
2025-03-30T14:56:40.227Z,9.31,7744.45,15775.61,49.09,4.72,5.51,1.51,2,0
2025-03-30T14:56:41.235Z,14.06,7737.14,15775.61,49.04,4.73,5.51,1.51,2,0
2025-03-30T14:56:42.251Z,8.46,7748.76,15775.61,49.12,4.73,5.51,1.51,2,0
2025-03-30T14:56:43.260Z,9.52,7756.75,15775.61,49.17,4.74,5.51,1.51,2,0
2025-03-30T14:56:44.270Z,6.31,7752.86,15775.61,49.14,4.75,5.51,1.51,2,0
2025-03-30T14:56:45.277Z,10.54,7762.06,15775.61,49.20,4.76,5.51,1.51,2,0
2025-03-30T14:56:46.285Z,5.95,7767.73,15775.61,49.24,4.77,5.51,1.51,2,0
2025-03-30T14:56:47.295Z,11.19,7774.51,15775.61,49.28,4.78,5.51,1.51,2,0
2025-03-30T14:56:48.318Z,11.8,7765.11,15775.61,49.22,4.78,5.51,1.51,2,0
2025-03-30T14:56:49.319Z,9.98,7758.53,15775.61,49.18,4.79,5.51,1.51,2,0
2025-03-30T14:56:50.333Z,9.09,7762.68,15775.61,49.21,4.80,5.51,1.51,2,0
2025-03-30T14:56:51.341Z,13.65,7784.79,15775.61,49.35,4.81,5.51,1.51,2,0
2025-03-30T14:56:52.350Z,12.18,7778.43,15775.61,49.31,4.82,5.51,1.51,2,0
2025-03-30T14:56:53.350Z,10.75,7786.05,15775.61,49.35,4.82,5.51,1.51,2,0
2025-03-30T14:56:54.353Z,15.72,7775.20,15775.61,49.29,4.83,5.51,1.51,2,0
2025-03-30T14:56:55.361Z,5.74,7778.39,15775.61,49.31,4.28,5.51,1.51,2,0
2025-03-30T14:56:56.374Z,14.58,7790.08,15775.61,49.38,4.29,5.51,1.51,2,0
2025-03-30T14:56:57.384Z,7.18,7780.99,15775.61,49.32,4.29,5.51,1.51,2,0
2025-03-30T14:56:58.399Z,12.16,7797.05,15775.61,49.42,4.30,5.51,1.51,2,0
2025-03-30T14:56:59.402Z,16.05,7780.07,15775.61,49.32,4.31,5.51,1.51,2,0
2025-03-30T14:57:00.408Z,9.65,7797.09,15775.61,49.42,4.32,5.51,1.51,2,0
2025-03-30T14:57:01.418Z,13.99,7791.74,15775.61,49.39,4.33,5.51,1.51,2,0
2025-03-30T14:57:02.430Z,9.99,7800.93,15775.61,49.45,4.34,5.51,1.51,2,0
2025-03-30T14:57:03.435Z,10.46,7802.27,15775.61,49.46,4.34,5.51,1.51,2,0
2025-03-30T14:57:04.442Z,11.58,7808.71,15775.61,49.50,4.35,5.51,1.51,2,0
2025-03-30T14:57:05.447Z,13.88,7793.12,15775.61,49.40,4.36,5.51,1.51,2,0
2025-03-30T14:57:06.450Z,8.34,7790.54,15775.61,49.38,4.37,5.51,1.51,2,0
2025-03-30T14:57:07.450Z,12.15,7792.41,15775.61,49.40,4.38,5.51,1.51,2,0
2025-03-30T14:57:08.454Z,9.73,7802.51,15775.61,49.46,4.38,5.51,1.51,2,0
2025-03-30T14:57:09.460Z,15.63,7802.58,15775.61,49.46,4.39,5.51,1.51,2,0
2025-03-30T14:57:10.472Z,10.36,7798.73,15775.61,49.44,4.40,5.51,1.51,2,0
2025-03-30T14:57:11.481Z,12.74,7810.19,15775.61,49.51,4.41,5.51,1.51,2,0
2025-03-30T14:57:12.483Z,9.36,7807.88,15775.61,49.49,4.42,5.51,1.51,2,0
2025-03-30T14:57:13.483Z,12.63,7823.79,15775.61,49.59,4.42,5.51,1.51,2,0
2025-03-30T14:57:14.488Z,14.81,7837.20,15775.61,49.68,4.43,5.51,1.51,2,0
2025-03-30T14:57:15.498Z,13.84,7835.11,15775.61,49.67,4.44,5.51,1.51,2,0
2025-03-30T14:57:16.507Z,12.05,7817.38,15775.61,49.55,4.45,5.51,1.51,2,0
2025-03-30T14:57:17.518Z,7.94,7820.65,15775.61,49.57,4.46,5.51,1.51,2,0
2025-03-30T14:57:18.523Z,14.13,7825.66,15775.61,49.61,4.46,5.51,1.51,2,0
2025-03-30T14:57:19.534Z,18.01,7813.57,15775.61,49.53,4.47,5.51,1.51,2,0
